omic	batch	axis	group_ko	group_ref	n_ko	n_ref	mean_ko	mean_ref	effect	t_stat	df_t	p_value	FDR	effect_z
RNA	batch1	Membrane context	HO	WT	NA	NA	NA	NA	0.07487155475172919	0.7976681652439926	NA	NA	NA	0.7976681652439926
RNA	batch2	Membrane context	HO	WT	NA	NA	NA	NA	0.07558939713579751	0.5811824548632474	NA	NA	NA	0.5811824548632474
RNA	batch3	Membrane context	HO	WT	NA	NA	NA	NA	0.02212899267418412	0.24002500576314953	NA	NA	NA	0.24002500576314953
RNA	batch1	Oxidation	HO	WT	NA	NA	NA	NA	0.4355049173775159	1.0823026679506873	NA	NA	NA	1.0823026679506873
RNA	batch2	Oxidation	HO	WT	NA	NA	NA	NA	3.107160562310665	1.107760662177988	NA	NA	NA	1.107760662177988
RNA	batch3	Oxidation	HO	WT	NA	NA	NA	NA	-2.0442821468943245e-4	-0.00115359549122775	NA	NA	NA	-0.00115359549122775
RNA	batch1	Remodeling	HO	WT	NA	NA	NA	NA	0.0283662940733574	0.7991598327804031	NA	NA	NA	0.7991598327804031
RNA	batch2	Remodeling	HO	WT	NA	NA	NA	NA	-0.04034451482165768	-1.2144527244025645	NA	NA	NA	-1.2144527244025645
RNA	batch3	Remodeling	HO	WT	NA	NA	NA	NA	0.07448025620594635	1.230855414069376	NA	NA	NA	1.230855414069376
RNA	batch1	Supply	HO	WT	NA	NA	NA	NA	0.1741470980195901	0.9782404609488116	NA	NA	NA	0.9782404609488116
RNA	batch2	Supply	HO	WT	NA	NA	NA	NA	-0.04644451086675605	-0.4174978494439805	NA	NA	NA	-0.4174978494439805
RNA	batch3	Supply	HO	WT	NA	NA	NA	NA	0.10793782580789796	0.6286067701845907	NA	NA	NA	0.6286067701845907
RNA	batch1	Synthesis	HO	WT	NA	NA	NA	NA	-0.00720084673903518	-0.17025405857746728	NA	NA	NA	-0.17025405857746728
RNA	batch2	Synthesis	HO	WT	NA	NA	NA	NA	-0.00211756478979458	-0.02980734476601257	NA	NA	NA	-0.02980734476601257
RNA	batch3	Synthesis	HO	WT	NA	NA	NA	NA	0.0091085124960116	0.09450619733757123	NA	NA	NA	0.09450619733757123
RNA	batch1	Transport	HO	WT	NA	NA	NA	NA	0.04521551270243536	0.32102907355963606	NA	NA	NA	0.32102907355963606
RNA	batch2	Transport	HO	WT	NA	NA	NA	NA	-0.07763529158807489	-1.0331155979880478	NA	NA	NA	-1.0331155979880478
RNA	batch3	Transport	HO	WT	NA	NA	NA	NA	0.06126796780632253	1.2300841485184983	NA	NA	NA	1.2300841485184983
Lipid	batch1	Membrane context	HO	WT	4	4	0.3240823284424356	-0.3240823284424349	0.6481646568848705	2.2422344605237803	NA	0.02494622305534445	0.5527850164405828	2.2422344605237803
Lipid	batch1	Oxidation	HO	WT	4	4	-0.06052589939090409	0.06052589939090472	-0.1210517987818088	-0.5129924036466468	NA	0.6079566344245073	0.7359475048296668	-0.5129924036466468
Lipid	batch1	Remodeling	HO	WT	4	4	-0.06052589939090409	0.06052589939090472	-0.1210517987818088	-0.5129924036466468	NA	0.6079566344245073	0.7359475048296668	-0.5129924036466468
Lipid	batch1	Supply	HO	WT	4	4	-0.06126410211215963	0.06126410211215985	-0.12252820422431948	-0.80890130239841	NA	0.4185719197189482	0.7290474217695018	-0.80890130239841
Lipid	batch1	Synthesis	HO	WT	4	4	-0.01625055390502779	0.01625055390502715	-0.03250110781005494	-0.10222209648966143	NA	0.9185803891621256	0.9603340432149494	-0.10222209648966143
Lipid	batch1	Transport	HO	WT	4	4	0.27963368371249736	-0.27963368371249725	0.5592673674249946	1.5540576923175693	NA	0.12017065574795278	0.5527850164405828	1.5540576923175693
Lipid	batch2	Membrane context	HO	WT	4	4	0.1753834524076484	-0.17538345240764924	0.35076690481529765	1.7850058188423048	NA	0.07426037304989794	0.5527850164405828	1.7850058188423048
Lipid	batch2	Oxidation	HO	WT	4	4	0.02634519686874412	-0.02634519686874398	0.0526903937374881	0.2706978811341595	NA	0.7866234065988955	0.8615399215130761	0.2706978811341595
Lipid	batch2	Remodeling	HO	WT	4	4	0.19185671157385803	-0.1918567115738582	0.3837134231477162	1.1369686188437729	NA	0.25555140450557945	0.7040738396547976	1.1369686188437729
