batch	sample_id	intensity	lipidName	LipidIon	Class	CalcMz	qc_grade	qc_sn	qc_rt	qc_height	is_qc	keep_for_correction
batch2	QC_2	712000000	PS(18:0_18:2)	PS(18:0_18:2)+H	PS	788.5436135	A	73.47394249	NA	NA	TRUE	TRUE
batch2	QC_3	639000000	PS(18:0_18:2)	PS(18:0_18:2)+H	PS	788.5436135	A	147.8676858	NA	NA	TRUE	TRUE
batch2	WT_1	495000000	PS(18:0_18:2)	PS(18:0_18:2)+H	PS	788.5436135	A	23.10736429	NA	NA	FALSE	TRUE
batch2	WT_2	302000000	PS(18:0_18:2)	PS(18:0_18:2)+H	PS	788.5436135	A	20.96146164	NA	NA	FALSE	TRUE
batch2	WT_3	268000000	PS(18:0_18:2)	PS(18:0_18:2)+H	PS	788.5436135	A	29.25609342	NA	NA	FALSE	TRUE
batch2	WT_5	754000000	PS(18:0_18:2)	PS(18:0_18:2)+H	PS	788.5436135	A	149.2037696	NA	NA	FALSE	TRUE
batch2	HO_10	114000000	PS(18:0_20:3)	PS(18:0_20:3)+H	PS	814.5592635	NA	17.4441635	NA	NA	FALSE	TRUE
batch2	HO_11	229000000	PS(18:0_20:3)	PS(18:0_20:3)+H	PS	814.5592635	A	8.727504529	NA	NA	FALSE	TRUE
batch2	HO_12	294000000	PS(18:0_20:3)	PS(18:0_20:3)+H	PS	814.5592635	A	36.94864118	NA	NA	FALSE	TRUE
batch2	HO_9	104000000	PS(18:0_20:3)	PS(18:0_20:3)+H	PS	814.5592635	NA	10100000	NA	NA	FALSE	TRUE
batch2	QC_0	167000000	PS(18:0_20:3)	PS(18:0_20:3)+H	PS	814.5592635	NA	11.31542336	NA	NA	TRUE	TRUE
batch2	QC_1	153000000	PS(18:0_20:3)	PS(18:0_20:3)+H	PS	814.5592635	A	11.45603442	NA	NA	TRUE	TRUE
batch2	QC_2	158000000	PS(18:0_20:3)	PS(18:0_20:3)+H	PS	814.5592635	NA	15100000	NA	NA	TRUE	TRUE
batch2	QC_3	150000000	PS(18:0_20:3)	PS(18:0_20:3)+H	PS	814.5592635	A	20.47988747	NA	NA	TRUE	TRUE
batch2	WT_1	112000000	PS(18:0_20:3)	PS(18:0_20:3)+H	PS	814.5592635	NA	8.392362121	NA	NA	FALSE	TRUE
batch2	WT_2	53500000	PS(18:0_20:3)	PS(18:0_20:3)+H	PS	814.5592635	NA	6.388604402	NA	NA	FALSE	TRUE
batch2	WT_3	58300000	PS(18:0_20:3)	PS(18:0_20:3)+H	PS	814.5592635	NA	5455461	NA	NA	FALSE	TRUE
batch2	WT_5	196000000	PS(18:0_20:3)	PS(18:0_20:3)+H	PS	814.5592635	A	16300000	NA	NA	FALSE	TRUE
batch2	HO_10	710000000	PS(18:0_20:4)	PS(18:0_20:4)+H	PS	812.5436135	NA	42.29621341	NA	NA	FALSE	TRUE
batch2	HO_11	925000000	PS(18:0_20:4)	PS(18:0_20:4)+H	PS	812.5436135	NA	122.2894811	NA	NA	FALSE	TRUE
