global_sample_id	AEA	AcCa	CL	Cer	CerG2Gc1	CerP	CerPE	ChE	Co	DG	DLCL	FA	Hex1Cer	Hex2Cer	LPA	LPC	LPE	LPG	LPI	LPS	LSM	MG	MLCL	OAHFA	PA	PC	PE	PEt	PG	PI	PMe	PS	SM	SPH	SPHP	StE	TG	ZyE
batch1_HO_5	27.357702610761258	25.82823881903439	25.724491592903206	26.767477256279204	23.816999373491015	NA	NA	23.201665877988255	27.46435941707356	26.508055534575213	NA	NA	26.814908305568594	25.970334910455296	NA	27.25308137051811	25.078054404023412	23.3403675993938	19.810697316000546	NA	26.80830817765433	NA	NA	NA	28.142672358656814	30.47688938597029	28.806011453098005	29.14573488558505	27.02493554964575	26.38965889317375	18.53473461294808	24.57072981895098	30.64172655163238	26.21498990631348	24.623918116916663	-19.931568569324174	26.42748357455812	24.41659858366165
batch1_HO_6	27.781317400661372	25.862603378479964	25.712069172494246	26.710265503235693	23.6772728228422	NA	NA	23.922957328940033	26.89741439915676	27.56821845684393	NA	NA	26.9083857854401	26.0086752643305	NA	27.080010982440633	25.766446903624942	22.38057853418616	-19.931568569324174	NA	27.55569532291144	NA	NA	NA	27.475458078858384	30.44483904302976	28.655003668555125	29.154593118873674	27.092726018485518	25.641134103689385	19.112188630843175	24.225895315276254	30.59253327036536	26.11275672382953	26.65636089769648	25.3491896731803	28.201191428799405	24.543287524194756
batch1_HO_7	27.545031545505836	25.866416294726196	25.88264344492151	26.787664886779602	24.11828967299977	NA	NA	23.47048146310251	26.97676998492469	27.19946431117918	NA	NA	26.728664833997943	25.793845404778352	NA	26.609195951052424	24.676362589384677	23.062145057662782	21.698029591618454	NA	25.64364108070636	NA	NA	NA	27.681016268729532	30.178290975445666	28.759129552115738	29.06929985131642	27.273075689300146	27.879111932407294	27.261422139062446	28.36172857184363	30.698555904091126	25.90166869684304	25.868119894297823	-19.931568569324174	26.785872662440266	24.212151026632437
batch1_HO_8	27.493991287634174	25.719289243871106	25.637113368944114	26.690850673676056	24.319426824246165	NA	NA	23.065751566811382	27.489608301945058	27.25767843181369	NA	NA	26.7243357716505	25.817880235338663	NA	26.580891340221825	24.862461384155978	20.867126610766096	20.301234490022484	NA	27.979055926939463	NA	NA	NA	28.138720963223957	30.242553700831664	28.826793942993827	29.012803979295867	27.16834337518296	27.733540532950073	26.684276468228713	28.15312272183202	30.68376770100378	25.930064562560922	26.186510830013713	-19.931568569324174	26.600162231965903	24.444303475684702
batch1_QC_1	27.443958782652047	25.5515696160633	26.025235696109903	26.744845987481128	24.63566773100337	NA	NA	23.38905867897356	27.34932676784958	27.014409787602304	NA	NA	26.833899574782624	25.999688160038144	NA	26.971168934879277	24.74302910150353	22.878748829232137	21.535172843593013	NA	27.080057628434506	NA	NA	NA	27.68315863612027	30.021681555921568	28.795536379452255	29.04330851814789	27.289917952920447	27.61709836062176	22.187840280227153	27.916916782286954	30.461699936803388	26.203258747320472	26.306297144852504	21.40845527041383	26.835979069829925	24.402299060120463
batch1_WT_1	28.192225406432836	25.017112467681372	25.749140603236224	26.504922294228923	24.068008958738375	NA	NA	23.50675549163743	27.83500460322024	27.222847606962052	NA	NA	26.663924410017838	25.65180403385233	NA	27.139521601569832	24.776592680600668	22.43120344524623	20.802597180678777	NA	27.68468902787034	NA	NA	NA	27.53822058059215	30.381351824506083	28.814073945808307	29.02400208982943	27.320367371327286	27.880599534824743	27.553957228013907	28.5627464251044	30.761920794308132	25.707535245291048	26.422651746878973	-19.931568569324174	26.28107066341886	24.695671460657763
batch1_WT_2	25.77829027987507	25.467943706547672	26.22260722737451	26.610645015291997	23.55731990587293	NA	NA	22.814515172156543	27.055305270251083	27.28194788869184	NA	NA	26.697686562414102	25.686729687357595	NA	25.89151015140231	24.87681652014776	23.35638323445417	22.478181801774	NA	25.68120126760613	NA	NA	NA	28.15227648974754	30.29270576765554	28.715342277407995	28.97221142415917	27.46243946034047	27.94360074000285	23.645751965560716	29.07686060480423	30.790743328717145	25.717326574342664	26.14119650213432	-19.931568569324174	25.562993497699654	24.099262869245667
batch1_WT_3	27.288584954156317	25.849205617833327	26.135678080612742	26.611254248772816	23.785917049790978	NA	NA	23.062945642697784	27.82413684744414	27.343698393653693	NA	NA	26.70250273377944	25.768845761329978	NA	26.75462901752809	24.956116798583103	23.840218359644687	22.22608123805812	NA	25.746548129172414	NA	NA	NA	28.054870891677595	30.3882998693267	28.811867896703287	28.97381790610256	27.426800621408592	27.864774901163642	27.486194514464735	28.537867767907155	30.659272350978938	25.868726459102554	25.964392500396052	-19.931568569324174	26.74847360572951	24.451879271142566
batch1_WT_4	26.620081639879007	25.84166166273609	26.045887510472532	26.68566720040034	24.19096447324482	NA	NA	23.51184342511305	27.758003929544053	27.17412841618377	NA	NA	26.77030669921505	25.961017512614937	NA	26.591303059960616	24.67416418869854	23.70535553195848	22.306647493292576	NA	26.33490556161561	NA	NA	NA	27.74096733820258	30.334424682026896	28.78992034139116	28.98296491880825	27.38397155810357	27.88849201158517	27.472909472553308	28.701948906906953	30.65969099364001	25.98979610182297	25.652636263962087	-19.931568569324174	26.253848198778883	24.586134624222122
batch2_HO_10	NA	26.772008257280206	23.251434913643354	27.087171580423334	NA	21.05727631394419	NA	25.658631181457764	27.925671795029142	28.36865423895446	25.175754529121736	25.932997591576616	27.90086490716241	26.923902062315843	NA	28.272294298528934	26.65034429501731	21.41070860477815	NA	NA	25.677882849039065	25.035177986383115	26.533494234461592	21.621722884239272	24.772879473863473	30.951577729040288	29.25301764916256	NA	27.75013692389816	27.605060636789784	NA	26.16654145367525	31.578834658777012	27.522951613649315	NA	NA	27.629078488321404	NA
batch2_HO_11	NA	26.989332490001246	23.422034442265584	26.31329848461192	NA	20.89003468948133	NA	25.942273604037876	26.03291560571016	29.122539293784836	25.354420685510753	26.514023588649078	27.186521117116158	25.909390970419302	NA	27.86055672111195	25.960471338959806	21.262761596807458	NA	NA	26.071151881173513	24.89182818172898	26.21381248622875	21.648382819514136	25.022669976936406	30.94287579298345	28.92573313753881	NA	27.82583217515699	27.08920992974262	NA	26.697199353644745	30.5759058038802	28.68673667027265	NA	NA	29.94916311566316	NA
batch2_HO_12	NA	26.67678872183096	23.61857335263664	26.98443044993392	NA	20.36828417642342	NA	25.405735685018474	26.94284702148969	28.293083457048695	25.2214046623328	26.657423025732616	27.500412733469332	26.543456542728105	NA	28.02086585746594	26.5987639726578	22.038373502565605	NA	NA	24.175386787763212	24.93653219442451	26.356905542532537	22.401618597490604	24.87700499772116	30.810731515059494	29.176822454504602	NA	27.863026010698473	27.774312807452805	NA	26.985795091881837	31.200734585079605	27.14820886047491	NA	NA	27.366727307391187	NA
batch2_HO_9	NA	26.640073028079826	23.315210141353788	26.023559278468248	NA	20.67416942667163	NA	25.89809730968188	25.565948372678196	28.563730434533554	25.452475167436234	26.20157277850226	27.19156413877744	25.316135539102746	NA	27.78182126702591	26.12000217433352	20.85343243316471	NA	NA	26.59299772055915	25.744715103528797	26.176048971789445	21.68926479266129	25.03951579632637	30.983909948910085	29.030189967717636	NA	28.072566235458254	26.918350504146282	NA	25.929532741931506	30.704975744813144	27.397820093124842	NA	NA	29.08298778415808	NA
