feature_id	lipidName	LipidIon	Class	CalcMz	n_samples_total	n_non_na_global	detect_rate_global	min_detect_rate_group	var_log	pass_global	pass_group	pass_var	keep_feature
CL(18:2_18:1_16:1_16:1) | CL(18:2_18:1_16:1_16:1)-H | 1397.9493	CL(18:2_18:1_16:1_16:1)	CL(18:2_18:1_16:1_16:1)-H	CL	1397.949305	12	12	1	1	0.06568287544529425	TRUE	TRUE	TRUE	TRUE
CL(18:2_18:1_16:1_18:1) | CL(18:2_18:1_16:1_18:1)-H | 1425.9806	CL(18:2_18:1_16:1_18:1)	CL(18:2_18:1_16:1_18:1)-H	CL	1425.980605	22	22	1	1	0.2251160520721958	TRUE	TRUE	TRUE	TRUE
CL(18:2_18:1_18:1_18:2) | CL(18:2_18:1_18:1_18:2)-H | 1451.9963	CL(18:2_18:1_18:1_18:2)	CL(18:2_18:1_18:1_18:2)-H	CL	1451.996255	34	34	1	1	5.011178729168873	TRUE	TRUE	TRUE	TRUE
CL(18:2_18:1_18:1_18:2)-H | CL(18:2_18:1_18:1_18:2)-H | 1451.9963	CL(18:2_18:1_18:1_18:2)-H	CL(18:2_18:1_18:1_18:2)-H	CL	1451.996255	9	9	1	1	82.51580301413384	TRUE	TRUE	TRUE	TRUE
CL(18:2_18:1_18:1_22:6) | CL(18:2_18:1_18:1_22:6)-H | 1499.9963	CL(18:2_18:1_18:1_22:6)	CL(18:2_18:1_18:1_22:6)-H	CL	1499.996255	12	12	1	1	0.09175787067933742	TRUE	TRUE	TRUE	TRUE
CL(18:2_18:1_18:2_18:2) | CL(18:2_18:1_18:2_18:2)-H | 1449.9806	CL(18:2_18:1_18:2_18:2)	CL(18:2_18:1_18:2_18:2)-H	CL	1449.980605	34	34	1	1	2.8702903114135103	TRUE	TRUE	TRUE	TRUE
CL(18:2_18:1_18:2_18:2)-H | CL(18:2_18:1_18:2_18:2)-H | 1449.9806	CL(18:2_18:1_18:2_18:2)-H	CL(18:2_18:1_18:2_18:2)-H	CL	1449.9806045300002	9	9	1	1	5.600918281426981	TRUE	TRUE	TRUE	TRUE
CL(18:2_18:1_18:2_20:3) | CL(18:2_18:1_18:2_20:3)-H | 1475.9963	CL(18:2_18:1_18:2_20:3)	CL(18:2_18:1_18:2_20:3)-H	CL	1475.996255	10	10	1	1	0.24023925179478078	TRUE	TRUE	TRUE	TRUE
CL(18:2_18:1_18:2_20:4) | CL(18:2_18:1_18:2_20:4)-H | 1473.9806	CL(18:2_18:1_18:2_20:4)	CL(18:2_18:1_18:2_20:4)-H	CL	1473.980605	22	22	1	1	0.23620203419242206	TRUE	TRUE	TRUE	TRUE
CL(18:2_18:1_18:2_22:6) | CL(18:2_18:1_18:2_22:6)-H | 1497.9806	CL(18:2_18:1_18:2_22:6)	CL(18:2_18:1_18:2_22:6)-H	CL	1497.980605	22	22	1	1	3.352656490829078	TRUE	TRUE	TRUE	TRUE
CL(18:2_18:1_20:4_20:4)-H | CL(18:2_18:1_20:4_20:4)-H | 1497.9806	CL(18:2_18:1_20:4_20:4)-H	CL(18:2_18:1_20:4_20:4)-H	CL	1497.980605	9	9	1	1	87.42569543340211	TRUE	TRUE	TRUE	TRUE
CL(18:2_18:2_16:1_16:1) | CL(18:2_18:2_16:1_16:1)-H | 1395.9337	CL(18:2_18:2_16:1_16:1)	CL(18:2_18:2_16:1_16:1)-H	CL	1395.933655	12	12	1	1	50.56901712462215	TRUE	TRUE	TRUE	TRUE
CL(18:2_18:2_18:1_20:3) | CL(18:2_18:2_18:1_20:3)-H | 1475.9963	CL(18:2_18:2_18:1_20:3)	CL(18:2_18:2_18:1_20:3)-H	CL	1475.996255	24	24	1	1	4.350457269944608	TRUE	TRUE	TRUE	TRUE
CL(18:2_18:2_18:2_18:2) | CL(18:2_18:2_18:2_18:2)-H | 1447.9650	CL(18:2_18:2_18:2_18:2)	CL(18:2_18:2_18:2_18:2)-H	CL	1447.964955	34	34	1	1	1.672803882329745	TRUE	TRUE	TRUE	TRUE
CL(18:2_18:2_18:2_18:2)-H | CL(18:2_18:2_18:2_18:2)-H | 1447.9650	CL(18:2_18:2_18:2_18:2)-H	CL(18:2_18:2_18:2_18:2)-H	CL	1447.9649545300001	9	9	1	1	4.0880958030106695	TRUE	TRUE	TRUE	TRUE
CL(18:2_18:2_18:2_20:3) | CL(18:2_18:2_18:2_20:3)-H | 1473.9806	CL(18:2_18:2_18:2_20:3)	CL(18:2_18:2_18:2_20:3)-H	CL	1473.980605	12	12	1	1	1.091638842386187	TRUE	TRUE	TRUE	TRUE
CL(18:2_18:2_18:2_20:3)-H | CL(18:2_18:2_18:2_20:3)-H | 1473.9806	CL(18:2_18:2_18:2_20:3)-H	CL(18:2_18:2_18:2_20:3)-H	CL	1473.9806045300002	9	9	1	1	78.60791985091316	TRUE	TRUE	TRUE	TRUE
CL(18:2_18:2_18:2_20:4) | CL(18:2_18:2_18:2_20:4)-H | 1471.9650	CL(18:2_18:2_18:2_20:4)	CL(18:2_18:2_18:2_20:4)-H	CL	1471.964955	34	34	1	1	1.3747646822123158	TRUE	TRUE	TRUE	TRUE
CL(18:2_18:2_18:2_20:4)-H | CL(18:2_18:2_18:2_20:4)-H | 1471.9650	CL(18:2_18:2_18:2_20:4)-H	CL(18:2_18:2_18:2_20:4)-H	CL	1471.9649545300001	9	9	1	1	4.501403034413037	TRUE	TRUE	TRUE	TRUE
CL(18:2_18:2_18:2_22:5)-H | CL(18:2_18:2_18:2_22:5)-H | 1497.9806	CL(18:2_18:2_18:2_22:5)-H	CL(18:2_18:2_18:2_22:5)-H	CL	1497.980605	9	9	1	1	120.49461283043009	TRUE	TRUE	TRUE	TRUE
CL(18:2_18:2_20:4_20:4) | CL(18:2_18:2_20:4_20:4)-H | 1495.9650	CL(18:2_18:2_20:4_20:4)	CL(18:2_18:2_20:4_20:4)-H	CL	1495.964955	24	24	1	1	1.2488138469398884	TRUE	TRUE	TRUE	TRUE
CL(18:2_20:3_20:4_18:1) | CL(18:2_20:3_20:4_18:1)-H | 1499.9963	CL(18:2_20:3_20:4_18:1)	CL(18:2_20:3_20:4_18:1)-H	CL	1499.996255	10	10	1	1	0.27493497227827807	TRUE	TRUE	TRUE	TRUE
CL(18:2_20:4_18:2_16:1) | CL(18:2_20:4_18:2_16:1)-H | 1445.9493	CL(18:2_20:4_18:2_16:1)	CL(18:2_20:4_18:2_16:1)-H	CL	1445.949305	12	12	1	1	0.6293721019089618	TRUE	TRUE	TRUE	TRUE
CL(18:2_20:4_18:2_20:4) | CL(18:2_20:4_18:2_20:4)-H | 1495.9650	CL(18:2_20:4_18:2_20:4)	CL(18:2_20:4_18:2_20:4)-H	CL	1495.964955	12	12	1	1	0.04433016938408456	TRUE	TRUE	TRUE	TRUE
CL(18:2_20:4_22:6_18:2) | CL(18:2_20:4_22:6_18:2)-H | 1519.9650	CL(18:2_20:4_22:6_18:2)	CL(18:2_20:4_22:6_18:2)-H	CL	1519.964955	12	12	1	1	0.11917201324323798	TRUE	TRUE	TRUE	TRUE
CL(18:3_20:4_18:2_18:2) | CL(18:3_20:4_18:2_18:2)-H | 1469.9493	CL(18:3_20:4_18:2_18:2)	CL(18:3_20:4_18:2_18:2)-H	CL	1469.949305	12	12	1	1	0.3107499461331597	TRUE	TRUE	TRUE	TRUE
CL(19:1_18:2_18:1_18:2) | CL(19:1_18:2_18:1_18:2)-H | 1466.0119	CL(19:1_18:2_18:1_18:2)	CL(19:1_18:2_18:1_18:2)-H	CL	1466.011905	12	12	1	1	1.7716009179751355	TRUE	TRUE	TRUE	TRUE
CL(19:1_18:2_18:2_18:2) | CL(19:1_18:2_18:2_18:2)-H | 1463.9963	CL(19:1_18:2_18:2_18:2)	CL(19:1_18:2_18:2_18:2)-H	CL	1463.996255	12	12	1	1	0.8628032768737826	TRUE	TRUE	TRUE	TRUE
CL(20:2_18:1_18:2_18:2) | CL(20:2_18:1_18:2_18:2)-H | 1478.0119	CL(20:2_18:1_18:2_18:2)	CL(20:2_18:1_18:2_18:2)-H	CL	1478.011905	10	10	1	1	2.065208946744111	TRUE	TRUE	TRUE	TRUE
CL(20:2_18:2_18:1_18:2)-H | CL(20:2_18:2_18:1_18:2)-H | 1478.0119	CL(20:2_18:2_18:1_18:2)-H	CL(20:2_18:2_18:1_18:2)-H	CL	1478.011905	9	9	1	1	133.6591326656311	TRUE	TRUE	TRUE	TRUE
