batch	sample_id	intensity	lipidName	LipidIon	Class	CalcMz	qc_grade	qc_sn	qc_rt	qc_height	is_qc
batch1	HO_5	28680609.19	AcCa(16:1)	AcCa(16:1)+H	AcCa	398.3264854700001	A	15.446607625573646	NA	NA	FALSE
batch1	HO_6	22078112.88	AcCa(16:1)	AcCa(16:1)+H	AcCa	398.3264854700001	A	5.2292454852935055	NA	NA	FALSE
batch1	HO_7	26729805.22	AcCa(16:1)	AcCa(16:1)+H	AcCa	398.3264854700001	NA	32.466387196480746	NA	NA	FALSE
batch1	HO_8	26945302.54	AcCa(16:1)	AcCa(16:1)+H	AcCa	398.3264854700001	NA	16.917568434652924	NA	NA	FALSE
batch1	QC_1	26284967.53	AcCa(16:1)	AcCa(16:1)+H	AcCa	398.3264854700001	NA	7.7192841961610466	NA	NA	TRUE
batch1	WT_1	15414138.23	AcCa(16:1)	AcCa(16:1)+H	AcCa	398.3264854700001	NA	4.527896830576209	NA	NA	FALSE
batch1	WT_2	23350562.76	AcCa(16:1)	AcCa(16:1)+H	AcCa	398.3264854700001	NA	17.470039943545764	NA	NA	FALSE
batch1	WT_3	36384277.36	AcCa(16:1)	AcCa(16:1)+H	AcCa	398.3264854700001	A	15.094046754407165	NA	NA	FALSE
batch1	WT_4	31998513.37	AcCa(16:1)	AcCa(16:1)+H	AcCa	398.3264854700001	NA	13.196764126244661	NA	NA	FALSE
batch1	HO_5	4209026.538	AcCa(17:1)	AcCa(17:1)+H	AcCa	412.3421355	NA	356353.88	NA	NA	FALSE
batch1	HO_6	2864358.499	AcCa(17:1)	AcCa(17:1)+H	AcCa	412.3421355	NA	0.5713228349094837	NA	NA	FALSE
batch1	HO_7	4826619.739	AcCa(17:1)	AcCa(17:1)+H	AcCa	412.3421355	A	4.1718954418133265	NA	NA	FALSE
batch1	HO_8	3074569.46	AcCa(17:1)	AcCa(17:1)+H	AcCa	412.3421355	NA	2.005378438868468	NA	NA	FALSE
batch1	QC_1	4583663.746	AcCa(17:1)	AcCa(17:1)+H	AcCa	412.3421355	NA	3.7037094100779906	NA	NA	TRUE
batch1	WT_1	2131529.622	AcCa(17:1)	AcCa(17:1)+H	AcCa	412.3421355	NA	1.3712249697802563	NA	NA	FALSE
batch1	WT_2	4098869.002	AcCa(17:1)	AcCa(17:1)+H	AcCa	412.3421355	NA	1.6010843305742937	NA	NA	FALSE
batch1	WT_3	5441878.961	AcCa(17:1)	AcCa(17:1)+H	AcCa	412.3421355	NA	3.295317718863878	NA	NA	FALSE
batch1	WT_4	4352522.329	AcCa(17:1)	AcCa(17:1)+H	AcCa	412.3421355	NA	4.1917569419793805	NA	NA	FALSE
batch1	HO_5	28416331.58	AcCa(18:0)	AcCa(18:0)+H	AcCa	428.3734355	NA	47.04305681405773	NA	NA	FALSE
batch1	HO_6	27011387.5	AcCa(18:0)	AcCa(18:0)+H	AcCa	428.3734355	NA	163.37063857148524	NA	NA	FALSE
batch1	HO_7	30267497.4	AcCa(18:0)	AcCa(18:0)+H	AcCa	428.3734355	NA	32.015345735397275	NA	NA	FALSE
batch1	HO_8	34824252.91	AcCa(18:0)	AcCa(18:0)+H	AcCa	428.3734355	NA	2799634	NA	NA	FALSE
batch1	QC_1	30888895.04	AcCa(18:0)	AcCa(18:0)+H	AcCa	428.3734355	NA	21.644840324444885	NA	NA	TRUE
batch1	WT_1	26039677.7	AcCa(18:0)	AcCa(18:0)+H	AcCa	428.3734355	NA	32.70178166777545	NA	NA	FALSE
batch1	WT_2	26230611.64	AcCa(18:0)	AcCa(18:0)+H	AcCa	428.3734355	NA	24.846819267632632	NA	NA	FALSE
batch1	WT_3	36926721.95	AcCa(18:0)	AcCa(18:0)+H	AcCa	428.3734355	A	19.01565487244229	NA	NA	FALSE
batch1	WT_4	33776880.81	AcCa(18:0)	AcCa(18:0)+H	AcCa	428.3734355	A	2701418.25	NA	NA	FALSE
batch1	HO_5	100907981.3	AcCa(18:1)	AcCa(18:1)+H	AcCa	426.35778547000007	NA	7803485.5	NA	NA	FALSE
batch1	HO_6	91573581.74	AcCa(18:1)	AcCa(18:1)+H	AcCa	426.35778547000007	A	94.21596335135388	NA	NA	FALSE
batch1	HO_7	114158084	AcCa(18:1)	AcCa(18:1)+H	AcCa	426.35778547000007	NA	127.33248700875302	NA	NA	FALSE
batch1	HO_8	85214594.72	AcCa(18:1)	AcCa(18:1)+H	AcCa	426.35778547000007	NA	140.76292637932494	NA	NA	FALSE
batch1	QC_1	100640264.5	AcCa(18:1)	AcCa(18:1)+H	AcCa	426.35778547000007	NA	73.10720221	NA	NA	TRUE
batch1	WT_1	50692634.49	AcCa(18:1)	AcCa(18:1)+H	AcCa	426.35778547000007	NA	74.06551447181953	NA	NA	FALSE
batch1	WT_2	84753229.36	AcCa(18:1)	AcCa(18:1)+H	AcCa	426.35778547000007	NA	84.81218489793784	NA	NA	FALSE
batch1	WT_3	132378683.2	AcCa(18:1)	AcCa(18:1)+H	AcCa	426.35778547000007	NA	135.66357961392958	NA	NA	FALSE
batch1	WT_4	119756878.8	AcCa(18:1)	AcCa(18:1)+H	AcCa	426.35778547000007	NA	137.95106259172837	NA	NA	FALSE
batch1	HO_5	19735467.73	AcCa(18:2)	AcCa(18:2)+H	AcCa	424.3421355	NA	17.557629262994833	NA	NA	FALSE
batch1	HO_6	16860370.14	AcCa(18:2)	AcCa(18:2)+H	AcCa	424.3421355	NA	15.938510153749922	NA	NA	FALSE
batch1	HO_7	20386634.88	AcCa(18:2)	AcCa(18:2)+H	AcCa	424.3421355	NA	42.35402353826863	NA	NA	FALSE
batch1	HO_8	22677717.19	AcCa(18:2)	AcCa(18:2)+H	AcCa	424.3421355	NA	9.938366356750404	NA	NA	FALSE
batch1	QC_1	16262418.78	AcCa(18:2)	AcCa(18:2)+H	AcCa	424.3421355	NA	48.87036067535479	NA	NA	TRUE
