feature_id	lipidName	LipidIon	Class	CalcMz	batch3_HO_5	batch3_HO_6	batch3_HO_7	batch3_HO_8	batch3_QC_0	batch3_QC_1	batch3_QC_2	batch3_QC_3	batch3_WT_1	batch3_WT_2	batch3_WT_3	batch3_WT_4	batch4_HO_10	batch4_HO_6	batch4_HO_7	batch4_QC_1	batch4_QC_2	batch4_QC_3	batch4_WT_1	batch4_WT_3	batch4_WT_4	batch4_WT_5	batch1_HO_5	batch1_HO_6	batch1_HO_7	batch1_HO_8	batch1_QC_1	batch1_WT_1	batch1_WT_2	batch1_WT_3	batch1_WT_4	batch2_HO_10	batch2_HO_11	batch2_HO_12	batch2_HO_9	batch2_QC_0	batch2_QC_1	batch2_QC_2	batch2_QC_3	batch2_WT_1	batch2_WT_2	batch2_WT_3	batch2_WT_5
CL(18:2_16:0_18:1_16:1) | CL(18:2_16:0_18:1_16:1)-H | 1399.9650	CL(18:2_16:0_18:1_16:1)	CL(18:2_16:0_18:1_16:1)-H	CL	1399.964955	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.20062634202297	21.810414549247973	22.656770164654873	22.756716737767146	22.606412035638705	22.768196233039465	23.05963026186502	24.032970897706473	22.655427216353736	22.698456445888144	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL(18:2_16:0_18:1_18:2)-H | CL(18:2_16:0_18:1_18:2)-H | 1425.9806	CL(18:2_16:0_18:1_18:2)-H	CL(18:2_16:0_18:1_18:2)-H	CL	1425.9806045300002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	21.11525038953459	23.45236620543532	23.997889356190893	25.159263593566404	23.59308825365516	25.282452277957212	24.443013879740455	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL(18:2_16:1_16:1_16:1) | CL(18:2_16:1_16:1_16:1)-H | 1369.9180	CL(18:2_16:1_16:1_16:1)	CL(18:2_16:1_16:1_16:1)-H	CL	1369.918005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.674156318828857	20.387396693554805	20.632447553319096	20.216496875608232	20.3981511054442	20.428680930181095	21.177940978328998	22.18426509452998	20.760398199936617	20.70832387317962	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL(18:2_16:1_16:1_18:1) | CL(18:2_16:1_16:1_18:1)-H | 1397.9493	CL(18:2_16:1_16:1_18:1)	CL(18:2_16:1_16:1_18:1)-H	CL	1397.949305	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.685495849194247	22.742670061924752	23.177300726698853	22.949361790262916	23.257404324648206	23.048932604894347	23.833863045215406	24.52899281566281	23.3758098404874	23.309684528099687	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL(18:2_16:1_16:1_18:2) | CL(18:2_16:1_16:1_18:2)-H | 1395.9337	CL(18:2_16:1_16:1_18:2)	CL(18:2_16:1_16:1_18:2)-H	CL	1395.933655	21.32391427290297	21.217040056590175	21.618444502690586	21.121878234230458	21.136265554929604	21.169139800029733	21.198413788760824	21.13951894641542	21.39048124601445	21.4076430347426	21.402043386128703	21.11647597981878	21.179601631184166	22.381672460803678	22.80777793107246	22.409602583387393	22.345760325853746	22.485796546005684	22.76937442407188	24.07144504330931	22.563297074025826	22.687051684298133	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL(18:2_16:1_18:1_16:0) | CL(18:2_16:1_18:1_16:0)-H | 1399.9650	CL(18:2_16:1_18:1_16:0)	CL(18:2_16:1_18:1_16:0)-H	CL	1399.964955	22.190871235514997	21.868900162372825	22.219302203460558	21.64339587337075	21.39337676942614	22.110090602949697	21.54809447277745	22.00533491545986	21.84560802112471	18.742943853165215	21.808611477619486	21.69628674137915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL(18:2_16:1_18:1_18:2) | CL(18:2_16:1_18:1_18:2)-H | 1423.9650	CL(18:2_16:1_18:1_18:2)	CL(18:2_16:1_18:1_18:2)-H	CL	1423.964955	24.817660895841357	24.704505658738803	24.745143175371076	24.1988508138981	24.615234036408697	24.577641269028373	24.56386788702281	24.791027823886882	24.987139142237098	24.69710566341981	24.96152249479791	24.43160689200927	24.553764995481274	24.23280888405613	24.930131535603625	24.426895101114717	24.449099867871087	24.948768321271583	25.13993713143645	25.933941460227846	24.839026984384763	24.69845628691653	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL(18:2_16:1_18:2_18:1)-H | CL(18:2_16:1_18:2_18:1)-H | 1423.9650	CL(18:2_16:1_18:2_18:1)-H	CL(18:2_16:1_18:2_18:1)-H	CL	1423.9649545300001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	24.81621082121543	24.652716382411562	24.616438445359414	25.535612221733988	25.97400086045497	25.118771888661204	25.180177756385117	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL(18:2_16:1_18:2_18:2) | CL(18:2_16:1_18:2_18:2)-H | 1421.9493	CL(18:2_16:1_18:2_18:2)	CL(18:2_16:1_18:2_18:2)-H	CL	1421.949305	24.016206611466046	23.967540099751805	24.1947793600019	23.66351911456101	23.84801426594747	24.01273644826478	23.949521610401952	23.938458227583816	23.77343250600018	24.05533683679546	23.808510930331224	23.696796224892818	23.358454751184716	23.74816594650641	24.26149577375728	23.692326053356542	23.780305813493595	23.866306210870693	24.086347516217327	25.427480942650153	24.095999669815967	24.04516198518891	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.579673397337764	21.537166172514517	22.731775769867575	20.434254076148484	21.026083119464996	21.114689781117708	20.659191660807323	20.989307389340762	19.85915024678493	19.501423426402255	0	22.061385622135823
CL(18:2_16:1_18:2_18:2)-H | CL(18:2_16:1_18:2_18:2)-H | 1421.9493	CL(18:2_16:1_18:2_18:2)-H	CL(18:2_16:1_18:2_18:2)-H	CL	1421.949305	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	18.625574429739725	19.287154605371416	24.272778655924903	24.331912410630824	24.27468948709585	25.157679453749473	25.215294274076	24.909770308767023	24.82754279920788	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
