batch	axis	ref_group	ko_group	n_ref	n_ko	mean_ref	mean_ko	sd_ref	sd_ko	delta_axis	se_delta	z_lipid_axis	p_value
batch1	Oxidation	WT	HO	4	4	NA	NA	NA	NA	NA	NA	NA	NA
batch1	Remodeling	WT	HO	4	4	NA	NA	NA	NA	NA	NA	NA	NA
batch1	Supply	WT	HO	4	4	-0.17860702977478488	0.17860702977478532	0.10794058066696792	0.34644123079238537	0.3572140595495702	0.1814336623587703	1.968841145052832	0.048971335807635616
batch1	Synthesis	WT	HO	4	4	-0.01728192831126566	0.01728192831126504	0.6080409083925468	0.43517784651028696	0.0345638566225307	0.3738627770894571	0.092450649651758	0.9263399990973947
batch1	Transport	WT	HO	4	4	-0.3847671099676472	0.38476710996764785	0.837685968371897	1.184691355568426	0.769534219935295	0.7254673303405395	1.0607427622882346	0.2888068206182389
batch2	Oxidation	WT	HO	4	4	NA	NA	NA	NA	NA	NA	NA	NA
batch2	Remodeling	WT	HO	4	4	-0.30583824550102107	0.3058382455010211	0.8323263127824994	1.0924901453168128	0.6116764910020422	0.6867135153330793	0.890730235162706	0.37307391021899194
batch2	Supply	WT	HO	4	4	7.578320035549618e-4	-7.578320035555447e-4	0.31968320073626816	0.41610582275776054	-0.0015156640071105065	0.26236491979964566	-0.005776930880347646	0.9953907016793916
batch2	Synthesis	WT	HO	4	4	0.3301300084221682	-0.3301300084221688	0.7594564463367034	0.8945758091340013	-0.660260016844337	0.5867367323106094	-1.1253088148140784	0.2604581957108165
batch2	Transport	WT	HO	4	4	-0.2188290320124317	0.2188290320124322	1.3254932831362507	0.7844559700986125	0.4376580640248639	0.7701142143641215	0.5683027995869878	0.5698293783691168
batch3	Oxidation	WT	HO	4	4	NA	NA	NA	NA	NA	NA	NA	NA
batch3	Remodeling	WT	HO	4	4	0.40657538399245263	-0.40657538399245263	0.43306784964903455	1.1937943172497345	-0.8131507679849053	0.6349591786676917	-1.2806347168507832	0.20032199992381797
batch3	Supply	WT	HO	4	4	-0.09062593249160544	0.09062593249160612	0.7815112048558669	0.28517287784631884	0.18125186498321155	0.41595773029672745	0.4357458745962331	0.6630211178775083
batch3	Synthesis	WT	HO	4	4	0.16909191918958544	-0.16909191918958447	1.192773436554168	0.34941745083468634	-0.3381838383791699	0.6214501238830535	-0.5441850043669962	0.5863141698885336
batch3	Transport	WT	HO	4	4	-0.4797664466682	0.47976644666819945	1.3582894083842925	0.2030951356910535	0.9595328933363995	0.6866945738591355	1.3973212107151913	0.16231700025236512
batch4	Oxidation	WT	HO	4	3	NA	NA	NA	NA	NA	NA	NA	NA
batch4	Remodeling	WT	HO	4	3	-0.22398956851068907	0.2986527580142521	0.7378202656412594	1.3171917968771654	0.5226423265249411	0.8452373016010947	0.6183379809846578	0.5363525704026852
batch4	Supply	WT	HO	4	3	-0.1861016328130018	0.24813551041733595	1.2044384025673434	0.8866325160204199	0.43423714323033774	0.7903841086562345	0.5494001441509276	0.5827308751844104
batch4	Synthesis	WT	HO	4	3	-0.18982515547456724	0.2531002072994232	1.2285368138420336	0.9043722650810851	0.4429253627739904	0.8061981189657507	0.549400144150928	0.58273087518441
batch4	Transport	WT	HO	4	3	NA	NA	NA	NA	NA	NA	NA	NA
