pathway	axis	gene_symbol	GeneID	gene_effect_sign	weight	IC_stat	IC_pvalue	IC_padj	LFC_batch1	LFC_batch2	LFC_batch3	signed_LFC_batch1	signed_LFC_batch2	signed_LFC_batch3	n_batches	mean_LFC_signed	mean_abs_LFC	sd_LFC_signed	se_LFC_signed	z_meta	sign_consistency	min_abs_LFC	p_use	p_evidence	stability	evidence_factor	score	eligible	hard_fail_reason	rank_in_set	Tier	recommended_topN
EphB1_PI3K_AKT_mTOR	EphB1_signaling	Inpp4b	ENSMUSG00000037940	-1	0.3	23.569742377968396	7.618956126032566e-6	0.00136074556410941	1.7475593391967972	0.565506838943548	4.805347422662372	-1.7475593391967972	-0.565506838943548	-4.805347422662372	3	-2.3728045336009056	2.3728045336009056	2.187980966252076	1.2632313998474138	-1.8783609510399422	1	0.565506838943548	0.00136074556410941	2.866223072763926	0.31367815886794387	1.2866223072763927	0.9576290686975469	TRUE		1	Tier1	TRUE
EphB1_PI3K_AKT_mTOR	EphB1_signaling	Pik3ip1	ENSMUSG00000034614	-1	0.3	7.607935543296008	0.02228218560308174	0.14866673641169992	0.1550829296306626	1.2394670520291715	-1.0492287641999891	-0.1550829296306626	-1.2394670520291715	1.0492287641999891	3	-0.115107072486615	0.8145929152866077	1.1448714716823094	0.6609918523633044	-0.17414295210305877	0.6666666666666666	0.1550829296306626	0.14866673641169992	0.8277861922639602	0.4662284025884589	1.082778619226396	0.27414969574030174	TRUE		2	Tier2	FALSE
EphB1_PI3K_AKT_mTOR	EphB1_signaling	Rps6kb2	ENSMUSG00000024830	1	0.7	2.7369737823854337	0.25449174206678377	0.5173844636667908	-0.21727748923255671	-0.00291090897540277	-0.2262280198266907	-0.21727748923255671	-0.00291090897540277	-0.2262280198266907	3	-0.14880547267821673	0.14880547267821673	0.12642763063509874	0.07299302658018084	-2.0386258749629733	1	0.00291090897540277	0.5173844636667908	0.28618661668071893	0.887762314065559	1.028618661668072	0.13588452732542794	TRUE		3	Tier2	FALSE
EphB1_PI3K_AKT_mTOR	EphB1_signaling	Phlpp2	ENSMUSG00000031732	-1	0.3	4.727211376825267	0.09408038633271032	0.3128922351345555	0.2854281728087089	0.12472888911057949	-0.32014108521323714	-0.2854281728087089	-0.12472888911057949	0.32014108521323714	3	-0.030005325568683756	0.24343271571084185	0.31370040912129715	0.18111501565107666	-0.16567000511150268	0.6666666666666666	0.12472888911057949	0.3128922351345555	0.5046052143547922	0.7612085625130285	1.0504605214354792	0.1297690380062165	TRUE		4	Tier2	FALSE
EphB1_PI3K_AKT_mTOR	EphB1_signaling	Phlpp1	ENSMUSG00000044340	-1	0.3	0.19459733115451172	0.9072849908682888	0.964243376192064	-0.10691195176750087	-0.08642769171677073	-0.20505043626267927	0.10691195176750087	0.08642769171677073	0.20505043626267927	3	0.13279669324898363	0.13279669324898363	0.06340625964424462	0.03660762107391194	3.627569597621843	1	0.08642769171677073	0.964243376192064	0.015813335809720726	0.9403743780242024	1.001581333580972	0.12507608255377092	TRUE		5	Tier2	FALSE
EphB1_PI3K_AKT_mTOR	EphB1_signaling	Pik3cb	ENSMUSG00000032462	1	0.3	3.2900617142269084	0.19300660707510212	0.45071888106188857	-0.07032924841026235	-0.2519921468316489	0.15973224702513805	-0.07032924841026235	-0.2519921468316489	0.15973224702513805	3	-0.054196382738924395	0.16068454742234978	0.20633576069179507	0.11912800697885409	-0.45494241122110407	0.6666666666666666	0.07032924841026235	0.45071888106188857	0.34609424852046594	0.8289566077578037	1.0346094248520465	0.09187367376387928	TRUE		6	Tier2	FALSE
EphB1_PI3K_AKT_mTOR	EphB1_signaling	Pik3ca	ENSMUSG00000027665	1	0.3	0.2153878121311834	0.8979023968482847	0.960749790551266	0.074871305884821715	0.07612270325256075	0.10079787283097465	0.074871305884821715	0.07612270325256075	0.10079787283097465	3	0.08393062732278571	0.08393062732278571	0.014620857605425754	0.008441356074275746	9.942789592605452	1	0.074871305884821715	0.960749790551266	0.017389701542187	0.9855898314174892	1.0017389701542188	0.08286502248450849	TRUE		7	Tier2	FALSE
EphB1_PI3K_AKT_mTOR	EphB1_signaling	Akt3	ENSMUSG00000019699	1	0.3	4.418219960399938	0.10979832772653446	0.3378796660145271	0.15375000557246463	-0.03395222991760724	0.1689824679850548	0.15375000557246463	-0.03395222991760724	0.1689824679850548	3	0.09626008121330407	0.11889490115837556	0.11302407467140653	0.06525447993644493	1.47514900596951	0.6666666666666666	0.03395222991760724	0.3378796660145271	0.4712379437782514	0.8984531626552874	1.047123794377825	0.07457022291267726	TRUE		8	Tier2	FALSE
EphB1_PI3K_AKT_mTOR	EphB1_signaling	Eif4ebp1	ENSMUSG00000031490	1	0.7	3.657830588683055	0.16058766368417315	0.41053840303431177	0.22355094675020945	0.10263429957501768	-0.01974201963469438	0.22355094675020945	0.10263429957501768	-0.01974201963469438	3	0.10214774223017759	0.11530908865330718	0.1216472129834007	0.07023305116213413	1.4544112855693523	0.6666666666666666	0.01974201963469438	0.41053840303431177	0.38664621139277633	0.89154592319644	1.0386646211392776	0.07118546692974315	TRUE		9	Tier2	FALSE
EphB1_PI3K_AKT_mTOR	EphB1_signaling	Mtor	ENSMUSG00000028991	1	0.3	0.42285694619656056	0.8094271748002022	0.9166425300825318	-0.02693320794312261	-0.08720661102984523	-0.09155215969882986	-0.02693320794312261	-0.08720661102984523	-0.09155215969882986	3	-0.06856399289059924	0.06856399289059924	0.03611872976470675	0.020853158352440792	-3.2879428493177896	1	0.02693320794312261	0.9166425300825318	0.03779999636937332	0.9651403562862829	1.0037799996369374	0.06642401375608932	TRUE		10	Tier2	FALSE
