axis	phenotype	n_points	r	p	slope	dir_match
Synthesis	MLCL_CL_ratio	4	-0.9342548743765964	0.06574512562340373	-0.12660257658990898	match
Remodeling	CL_PG_ratio	3	-0.8413495662123571	0.3635232659957152	-0.0589497161829143	mismatch
Oxidation	MLCL_CL_ratio	4	0.5750274946004443	0.42497250539955567	0.05045455426810969	match
Transport	PA_PG_mismatch	3	0.8940594024152212	0.2956903617705569	0.4608828651220548	mismatch
Supply	MLCL_CL_ratio	4	0.8342864740608977	0.16571352593910224	0.08045298537426292	match
Membrane context	CL_fraction	4	-0.928482783305188	0.07151721669481205	-0.00101109767370325	mismatch
