batch	n_features_used	factor_between_panelA	factor_min	factor_q1	factor_median	factor_q3	factor_max
batch1	48	1	0.601163010221175	0.9699957797343584	1	1.0992003656443718	11.013711947804092
batch2	48	1	0.20973093935292436	0.886117744690198	1	1.0377173400983606	3.1083684352930336
batch3	48	1	0.1639364439646761	0.9745444750478759	1	1.0926659227780728	2.793523199517347
