batch	lipidName	LipidIon	CalcMz	n_qc_total	n_qc_non_na	qc_mean	qc_sd	qc_cv	qc_missing_prop	qc_sn_median	qc_rt_mean	qc_rt_sd	qc_height_mean	n_samples_total	n_samples_non_na	detect_rate	pass_n_qc	pass_mean	pass_cv	pass_sn	pass_rt	keep_for_correction
batch1	CL(24:0_16:0_18:0_14:0)-2H	CL(24:0_16:0_18:0_14:0)-2H	731.5414390299999	1	1	14447028.24	NA	NA	0	1041879.19	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	CL(24:0_18:2_18:1_18:1)-2H	CL(24:0_18:2_18:1_18:1)-2H	769.5570890299999	1	1	67464135.35	NA	NA	0	14.275872068545723	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	CL(66:1)-2H	CL(66:1)-2H	688.4866640299999	1	1	219845591.9	NA	NA	0	14.700929207507036	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	CL(66:3)-2H	CL(66:3)-2H	686.4710140299999	1	1	6422736.808	NA	NA	0	641374.56	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	CL(70:2)-2H	CL(70:2)-2H	715.5101390299999	1	1	153687445.4	NA	NA	0	17709866	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	CL(70:3)-2H	CL(70:3)-2H	714.5023140299999	1	1	311022825.8	NA	NA	0	46.77926751449448	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	CL(70:7)-2H	CL(70:7)-2H	710.4710140299999	1	1	8136986.752	NA	NA	0	1112698	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	CL(72:1)-2H	CL(72:1)-2H	730.5336140299999	1	1	25622418.85	NA	NA	0	4.742176833281401	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
batch1	CL(72:3)-2H	CL(72:3)-2H	728.5179640299999	1	1	11935498.62	NA	NA	0	2.063295354368565	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
batch1	CL(72:6)	CL(72:6)+H	1454.0108074699997	1	1	49482382.25	NA	NA	0	11.921207440317197	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	CL(72:7)-2H	CL(72:7)-2H	724.4866640299999	1	1	2145584.183	NA	NA	0	0.8435967532501948	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
batch1	CL(72:8)	CL(72:8)+H	1449.9795074699998	1	1	939417.4488	NA	NA	0	0	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
batch1	CL(73:3)	CL(73:3)+	1496.055352	1	1	65684833.57	NA	NA	0	23.26011820081656	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	CL(74:1)-2H	CL(74:1)-2H	744.5492640299999	1	1	563739263.1	NA	NA	0	179.97884766178734	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	CL(74:1)-H	CL(74:1)-H	1490.105805	1	1	16284623.29	NA	NA	0	1.597106518906449	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
batch1	CL(74:2)-2H	CL(74:2)-2H	743.5414390299999	1	1	182535762.3	NA	NA	0	5.581985748693538	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
batch1	CL(74:3)-H	CL(74:3)-H	1486.074505	1	1	18599083.02	NA	NA	0	9.495501263269215	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
batch1	CL(74:5)-2H	CL(74:5)-2H	740.5179640299999	1	1	123346616.3	NA	NA	0	11355008	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
batch1	CL(74:7)-2H	CL(74:7)-2H	738.5023140299999	1	1	13240958	NA	NA	0	3.316145779257748	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
batch1	CL(74:9)-2H	CL(74:9)-2H	736.4866640299999	1	1	45155882.41	NA	NA	0	12.21768447810659	NA	NA	NA	9	9	1	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE
