batch	sample_id	is_qc	n_feat	total_raw	median_raw	p90_raw	total_pqn	median_pqn	p90_pqn	ratio_total	ratio_median	ratio_p90
batch1	HO_5	FALSE	1692	1180558048381.7566	49763096.115	770709936.5600023	1265781136877.9954	53355435.13625257	826346574.8586597	1.0721888166473965	1.0721888166473976	1.0721888166473976
batch1	HO_6	FALSE	1692	1051970551243.6002	47607901.53	760069421.9	1292566716253.1304	58496303.79442507	933904885.1018624	1.228709981211077	1.2287099812110762	1.228709981211076
batch1	HO_7	FALSE	1692	1040888094508.0065	55361163.655	751990402.44	1179537049488.395	62735412.17197636	852157446.3361734	1.133202556270877	1.1332025562708767	1.1332025562708767
batch1	HO_8	FALSE	1692	1177066956672.737	60525620.78	839432429.4300002	1171133183081.8079	60220501.91813493	835200722.8538498	0.9949588478741239	0.9949588478741238	0.9949588478741238
batch1	QC_1	TRUE	1692	1082842069528.3569	59992039.955	862677644.4	1082842069528.3569	59992039.955	862677644.4	1	1	1
batch1	WT_1	FALSE	1692	1250790279898.0322	60079501.769999996	818102034.7700001	1289193303874.6511	61924123.193796806	843220228.0926692	1.0307030080052666	1.0307030080052677	1.0307030080052677
batch1	WT_2	FALSE	1692	1180536858993.2244	54467874.09	719456995.400001	1229555877414.6997	56729524.54424617	749330756.1744415	1.041522649672522	1.041522649672523	1.0415226496725232
batch1	WT_3	FALSE	1692	1266370152152.6973	58375493.20999999	865567394.9400005	1258422334894.27	58009125.01061152	860135040.5307155	0.9937239382617186	0.9937239382617206	0.9937239382617207
batch1	WT_4	FALSE	1692	1247454459857.1406	58491345.730000004	883176639.4500011	1238761915044.2568	58083764.80397405	877022464.8783789	0.9930317738301411	0.9930317738301427	0.9930317738301425
batch2	HO_10	FALSE	1130	985353410629.461	58400000	1243000000.0000007	965215813222.6747	57206483.36336008	1217596897.6139832	0.9795630712904093	0.9795630712904123	0.9795630712904123
batch2	HO_11	FALSE	1130	931711382408.0803	54250000	1321000000.0000002	947865910304.0443	55190616.54167087	1343904229.521608	1.0173385537635178	1.0173385537635182	1.0173385537635184
batch2	HO_12	FALSE	1130	973099556423.3551	59250000	1260000000	865554166050.107	52701785.75249228	1120746836.255532	0.8894816160758175	0.8894816160758191	0.8894816160758191
batch2	HO_9	FALSE	1130	916169656520.3949	53050000	1280000000	918215286401.5665	53168450.40317994	1282857992.7628715	1.002232806845995	1.0022328068459934	1.0022328068459934
batch2	QC_0	TRUE	1130	914960443343.8147	52850000	1214000000.000001	904187107353.4387	52227709.92043042	1199705578.8723288	0.9882253532721003	0.9882253532720988	0.9882253532720987
batch2	QC_1	TRUE	1130	884983297275.3525	51600000	1262000000.0000005	871736860250.9551	50827650.79006202	1243110373.9739978	0.9850319920554659	0.9850319920554654	0.9850319920554654
batch2	QC_2	TRUE	1130	887052844754.4015	50650000	1224000000.000001	897749476756.368	51260769.036031425	1238759749.2616487	1.0120586186778175	1.0120586186778169	1.0120586186778167
batch2	QC_3	TRUE	1130	855449029900.6007	47800000	1230000000	872400523281.555	48747200.07304668	1254373558.3650086	1.0198159011097645	1.0198159011097632	1.0198159011097632
batch2	WT_1	FALSE	1130	883776646863.1528	50450000	1201000000.0000002	941830951794.1359	53764004.385795504	1279892354.1593742	1.065688887726372	1.0656888877263728	1.065688887726373
batch2	WT_2	FALSE	1130	764835333445.2289	39200000	1032000000.0000005	949798255920.8932	48679879.18966254	1281572329.6870346	1.241833652797514	1.2418336527975138	1.2418336527975136
