batch	n_samples	n_qc_samples	median_factor_qc	factor_min	factor_q1	factor_median	factor_q3	factor_max	n_features_used_median
batch1	9	1	1	0.8138617047892387	0.9326715448561352	0.970211585910972	1.0050666941016178	1.007017123070474	1351
batch2	12	4	1.0022328068459934	0.8052608316317341	0.970016895310728	0.9929286132626856	1.016612417886991	1.124250329547857	670
batch3	12	4	0.99063143792877	0.8229724608843754	0.968048617982825	0.9992216670145546	1.0332230853069584	1.0988240394017126	750
batch4	10	3	1	0.8315098468271335	0.9524253953050578	0.9938461538461538	1.1209029888551165	1.2952380952380953	43
