batch	sample_id	pqn_factor_raw	n_features_used	is_qc	median_factor_qc	pqn_factor
batch1	HO_5	0.9326715448561352	1337	FALSE	1	0.9326715448561352
batch1	HO_6	0.8138617047892387	1325	FALSE	1	0.8138617047892387
batch1	HO_7	0.8824547689786215	1351	FALSE	1	0.8824547689786215
batch1	HO_8	1.0050666941016178	1350	FALSE	1	1.0050666941016178
batch1	WT_1	0.9702115859109719	1350	FALSE	1	0.9702115859109719
batch1	WT_2	0.9601327444145562	1351	FALSE	1	0.9601327444145562
batch1	WT_3	1.0063156994579983	1351	FALSE	1	1.0063156994579983
batch1	WT_4	1.007017123070474	1351	FALSE	1	1.007017123070474
batch1	QC_1	1	1353	TRUE	1	1
batch2	HO_10	1.0231427012920338	668	FALSE	1.0022328068459934	1.0208633107030725
batch2	HO_11	0.9851517011110578	670	FALSE	1.0022328068459934	0.9829569481080055
batch2	HO_12	1.1267605633802817	665	FALSE	1.0022328068459934	1.124250329547857
batch2	HO_9	1	670	FALSE	1.0022328068459934	0.997772167473723
batch2	WT_1	0.9404553415061296	669	FALSE	1.0022328068459934	0.9383601645068114
batch2	WT_2	0.8070588235294117	667	FALSE	1.0022328068459934	0.8052608316317341
batch2	WT_3	0.8340398651601971	666	FALSE	1.0022328068459934	0.8321817640203816
batch2	WT_5	1.048967746318926	670	FALSE	1.0022328068459934	1.0466308218546612
batch2	QC_0	1.0141743515560644	670	TRUE	1.0022328068459934	1.0119149409483519
batch2	QC_1	1.017462188973817	670	TRUE	1.0022328068459934	1.015195453614964
batch2	QC_2	0.9902912621359223	670	TRUE	1.0022328068459934	0.988085059051648
batch2	QC_3	0.9827585603983662	670	TRUE	1.0022328068459934	0.9805691389120336
batch3	HO_5	1.0217663796067433	750	FALSE	0.99063143792877	1.0314293898678109
batch3	HO_6	0.8152623923016672	750	FALSE	0.99063143792877	0.8229724608843754
batch3	HO_7	1.088529638183218	749	FALSE	0.99063143792877	1.0988240394017126
batch3	HO_8	1.0288739439751	750	FALSE	0.99063143792877	1.0386041716244017
batch3	WT_1	0.8221343873517787	749	FALSE	0.99063143792877	0.8299094455054971
batch3	WT_2	0.9432835820895522	749	FALSE	0.99063143792877	0.9522043678139133
batch3	WT_3	0.964211331859862	750	FALSE	0.99063143792877	0.9733300347057957
batch3	WT_4	0.976271186440678	749	FALSE	0.99063143792877	0.9855039412860583
batch3	QC_0	0.9906527541858772	750	TRUE	0.99063143792877	1.0000215178484055
batch3	QC_1	0.9891106719367588	750	TRUE	0.99063143792877	0.9984648518775149
batch3	QC_2	0.9906101216716628	750	TRUE	0.99063143792877	0.9999784821515945
batch3	QC_3	1.0783412174102167	750	TRUE	0.99063143792877	1.0885392650821095
batch4	HO_10	0.8315098468271335	41	FALSE	1	0.8315098468271335
batch4	HO_6	0.9876923076923076	43	FALSE	1	0.9876923076923076
batch4	HO_7	1.1603174603174604	43	FALSE	1	1.1603174603174604
batch4	WT_1	1.2952380952380953	43	FALSE	1	1.2952380952380953
batch4	WT_3	1.2546583850931676	43	FALSE	1	1.2546583850931676
batch4	WT_4	0.8410123864062814	43	FALSE	1	0.8410123864062814
batch4	WT_5	0.9873331601675999	43	FALSE	1	0.9873331601675999
batch4	QC_1	0.9407894736842105	43	TRUE	1	0.9407894736842105
batch4	QC_2	1.002659574468085	43	TRUE	1	1.002659574468085
batch4	QC_3	1	43	TRUE	1	1
