batch	n_features_used	batch_factor_between	factor_min	factor_q1	factor_median	factor_q3	factor_max
batch2	3	0.232246045632635	0.13065292365173492	0.18144948464218497	0.232246045632635	0.6161230228163175	1
batch3	3	1	0.9134614923829519	0.956730746191476	1	1	1
batch4	3	1.1643706599533779	1.0507931677961304	1.1075819138747542	1.1643706599533779	1.4257469245718073	1.6871231891902367
