feature_id	lipidName	LipidIon	Class	CalcMz	n_samples_total	n_non_na_global	detect_rate_global	min_detect_rate_group	var_log	pass_global	pass_group	pass_var	keep_feature	n_batches_qc	any_keep_for_corr	qc_mean_median	qc_cv_median	qc_sn_median_median	qc_rt_sd_median
CL(18:2_16:0_16:1_18:1) | CL(18:2_16:0_16:1_18:1)-H | 1399.9650	CL(18:2_16:0_16:1_18:1)	CL(18:2_16:0_16:1_18:1)-H	CL	1399.964955	12	12	1	1	0.7827811565257224	TRUE	TRUE	TRUE	TRUE	1	FALSE	3730851.45875	0.2562895523344742	4.7186227044999995	0.02879091291825723
CL(18:2_16:0_18:1_18:2)-H | CL(18:2_16:0_18:1_18:2)-H | 1425.9806	CL(18:2_16:0_18:1_18:2)-H	CL(18:2_16:0_18:1_18:2)-H	CL	1425.9806045300002	9	9	1	1	112.20823316861606	TRUE	TRUE	TRUE	TRUE	1	FALSE	16752688.1	NA	1.8791912681231515	NA
CL(18:2_16:1_16:1_18:2) | CL(18:2_16:1_16:1_18:2)-H | 1395.9337	CL(18:2_16:1_16:1_18:2)	CL(18:2_16:1_16:1_18:2)-H	CL	1395.933655	12	12	1	1	0.0248853627543215	TRUE	TRUE	TRUE	TRUE	2	FALSE	6381790.0084999995	0.04965522558558602	3.1163720337500003	0.014964430519937202
CL(18:2_16:1_18:1_16:0) | CL(18:2_16:1_18:1_16:0)-H | 1399.9650	CL(18:2_16:1_18:1_16:0)	CL(18:2_16:1_18:1_16:0)-H	CL	1399.964955	12	12	1	1	0.8682968848099178	TRUE	TRUE	TRUE	TRUE	1	FALSE	3730851.45875	0.2562895523344742	4.7186227044999995	0.02879091291825723
CL(18:2_16:1_18:1_18:2) | CL(18:2_16:1_18:1_18:2)-H | 1423.9650	CL(18:2_16:1_18:1_18:2)	CL(18:2_16:1_18:1_18:2)-H	CL	1423.964955	12	12	1	1	0.04827026120732337	TRUE	TRUE	TRUE	TRUE	2	TRUE	37504166.66666667	0.17815671265782113	9.651288546	0.01514806736219213
CL(18:2_16:1_18:2_18:1)-H | CL(18:2_16:1_18:2_18:1)-H | 1423.9650	CL(18:2_16:1_18:2_18:1)-H	CL(18:2_16:1_18:2_18:1)-H	CL	1423.9649545300001	9	9	1	1	122.95620033970448	TRUE	TRUE	TRUE	TRUE	1	FALSE	25720910.7	NA	1.9197069337341224	NA
CL(18:2_16:1_18:2_18:2) | CL(18:2_16:1_18:2_18:2)-H | 1421.9493	CL(18:2_16:1_18:2_18:2)	CL(18:2_16:1_18:2_18:2)-H	CL	1421.949305	24	24	1	1	23.652155700736024	TRUE	TRUE	TRUE	TRUE	3	TRUE	16425000	0.09130910475628076	23.75614001	0.01056813817994912
CL(18:2_16:1_18:2_18:2)-H | CL(18:2_16:1_18:2_18:2)-H | 1421.9493	CL(18:2_16:1_18:2_18:2)-H	CL(18:2_16:1_18:2_18:2)-H	CL	1421.949305	9	9	1	1	6.599722072616672	TRUE	TRUE	TRUE	TRUE	1	FALSE	20295962.4	NA	2182047.25	NA
CL(18:2_16:1_20:4_18:2) | CL(18:2_16:1_20:4_18:2)-H | 1445.9493	CL(18:2_16:1_20:4_18:2)	CL(18:2_16:1_20:4_18:2)-H	CL	1445.949305	12	12	1	1	1.354295757701366	TRUE	TRUE	TRUE	TRUE	2	FALSE	4866102.444625	0.2778041109426453	46046.24526528201	0.01193035344544864
CL(18:2_18:1_15:1_18:1) | CL(18:2_18:1_15:1_18:1)-H | 1411.9650	CL(18:2_18:1_15:1_18:1)	CL(18:2_18:1_15:1_18:1)-H	CL	1411.964955	12	12	1	1	0.12515455132618294	TRUE	TRUE	TRUE	TRUE	1	FALSE	866158.486	0.2610749839546346	3.769856314	0.04616636582332821
CL(18:2_18:1_16:1_16:1) | CL(18:2_18:1_16:1_16:1)-H | 1397.9493	CL(18:2_18:1_16:1_16:1)	CL(18:2_18:1_16:1_16:1)-H	CL	1397.949305	12	12	1	1	0.06568287544529425	TRUE	TRUE	TRUE	TRUE	1	FALSE	3870745.052	0.20048904152842983	2.729551834	0.02242580359020977
CL(18:2_18:1_16:1_18:1) | CL(18:2_18:1_16:1_18:1)-H | 1425.9806	CL(18:2_18:1_16:1_18:1)	CL(18:2_18:1_16:1_18:1)-H	CL	1425.980605	12	12	1	1	0.08954232445178788	TRUE	TRUE	TRUE	TRUE	2	TRUE	34466666.66666667	0.18224516014861278	28.57530187825	0.012447589061975836
CL(18:2_18:1_18:1_18:2) | CL(18:2_18:1_18:1_18:2)-H | 1451.9963	CL(18:2_18:1_18:1_18:2)	CL(18:2_18:1_18:1_18:2)-H	CL	1451.996255	24	24	1	1	6.542507908825043	TRUE	TRUE	TRUE	TRUE	3	TRUE	101200000	0.14361756758121869	41.5122954	0.012818992379538124
CL(18:2_18:1_18:1_18:2)-H | CL(18:2_18:1_18:1_18:2)-H | 1451.9963	CL(18:2_18:1_18:1_18:2)-H	CL(18:2_18:1_18:1_18:2)-H	CL	1451.996255	9	9	1	1	82.51580301413384	TRUE	TRUE	TRUE	TRUE	1	FALSE	108080202.3	NA	50.17632109476305	NA
CL(18:2_18:1_18:1_22:6) | CL(18:2_18:1_18:1_22:6)-H | 1499.9963	CL(18:2_18:1_18:1_22:6)	CL(18:2_18:1_18:1_22:6)-H	CL	1499.996255	12	12	1	1	0.09175787067933742	TRUE	TRUE	TRUE	TRUE	1	FALSE	24975000	0.0454620522662692	6.5422761045	0.0488910353064169
