feature_id	lipidName	LipidIon	Class	CalcMz	n_samples_total	n_non_na_global	detect_rate_global	min_detect_rate_group	var_log	pass_global	pass_group	pass_var	keep_feature	n_batches_qc	any_keep_for_corr	qc_mean_median	qc_cv_median	qc_sn_median_median	qc_rt_sd_median
CL(18:2_18:1_18:2_18:2) | CL(18:2_18:1_18:2_18:2)-H | 1449.9806	CL(18:2_18:1_18:2_18:2)	CL(18:2_18:1_18:2_18:2)-H	CL	1449.980605	34	34	1	1	2.8702903114135103	TRUE	TRUE	TRUE	TRUE	3	TRUE	69866666.66666667	0.14887282094037713	39.83555384	0.01181663033623974
CL(18:2_18:1_18:2_18:2)-H | CL(18:2_18:1_18:2_18:2)-H | 1449.9806	CL(18:2_18:1_18:2_18:2)-H	CL(18:2_18:1_18:2_18:2)-H	CL	1449.9806045300002	9	9	1	1	5.600918281426981	TRUE	TRUE	TRUE	TRUE	1	FALSE	152717155.8	NA	47.02632237347494	NA
CL(18:2_18:1_18:2_20:3) | CL(18:2_18:1_18:2_20:3)-H | 1475.9963	CL(18:2_18:1_18:2_20:3)	CL(18:2_18:1_18:2_20:3)-H	CL	1475.996255	10	10	1	1	0.2402392517947808	TRUE	TRUE	TRUE	TRUE	1	TRUE	68666666.66666667	0.04306183695853415	22.94425424	0.04346646216720886
CL(18:2_18:1_18:2_20:4) | CL(18:2_18:1_18:2_20:4)-H | 1473.9806	CL(18:2_18:1_18:2_20:4)	CL(18:2_18:1_18:2_20:4)-H	CL	1473.980605	22	22	1	1	0.23620203419242208	TRUE	TRUE	TRUE	TRUE	2	TRUE	63408333.33333333	0.18536723410294356	41.91386401	0.015014458090258274
CL(18:2_18:1_18:2_22:6) | CL(18:2_18:1_18:2_22:6)-H | 1497.9806	CL(18:2_18:1_18:2_22:6)	CL(18:2_18:1_18:2_22:6)-H	CL	1497.980605	22	22	1	1	3.352656490829078	TRUE	TRUE	TRUE	TRUE	2	TRUE	11050919.214375	0.15742725127748555	14.483839684749999	0.02666458325194777
CL(18:2_18:1_20:4_20:4)-H | CL(18:2_18:1_20:4_20:4)-H | 1497.9806	CL(18:2_18:1_20:4_20:4)-H	CL(18:2_18:1_20:4_20:4)-H	CL	1497.980605	9	9	1	1	87.42569543340211	TRUE	TRUE	TRUE	TRUE	1	FALSE	2669348.971	NA	0	NA
CL(18:2_18:2_16:1_16:1) | CL(18:2_18:2_16:1_16:1)-H | 1395.9337	CL(18:2_18:2_16:1_16:1)	CL(18:2_18:2_16:1_16:1)-H	CL	1395.933655	12	12	1	1	50.56901712462215	TRUE	TRUE	TRUE	TRUE	1	TRUE	280618.96175	0.08502737268500168	61354.134999999995	NA
CL(18:2_18:2_18:1_20:3) | CL(18:2_18:2_18:1_20:3)-H | 1475.9963	CL(18:2_18:2_18:1_20:3)	CL(18:2_18:2_18:1_20:3)-H	CL	1475.996255	24	24	1	1	4.350457269944608	TRUE	TRUE	TRUE	TRUE	2	TRUE	43957675.02225	0.0486913326724818	23.9210324775	0.01936276495407276
CL(18:2_18:2_18:2_18:2) | CL(18:2_18:2_18:2_18:2)-H | 1447.9650	CL(18:2_18:2_18:2_18:2)	CL(18:2_18:2_18:2_18:2)-H	CL	1447.964955	34	34	1	1	1.672803882329745	TRUE	TRUE	TRUE	TRUE	3	TRUE	57566666.666666664	0.10071280880716568	29.462657185	0.029323905743006827
CL(18:2_18:2_18:2_18:2)-H | CL(18:2_18:2_18:2_18:2)-H | 1447.9650	CL(18:2_18:2_18:2_18:2)-H	CL(18:2_18:2_18:2_18:2)-H	CL	1447.9649545300001	9	9	1	1	4.0880958030106695	TRUE	TRUE	TRUE	TRUE	1	FALSE	124868940.8	NA	23.81215369331824	NA
CL(18:2_18:2_18:2_20:3) | CL(18:2_18:2_18:2_20:3)-H | 1473.9806	CL(18:2_18:2_18:2_20:3)	CL(18:2_18:2_18:2_20:3)-H	CL	1473.980605	12	12	1	1	1.091638842386187	TRUE	TRUE	TRUE	TRUE	1	FALSE	8267423.93325	0.06752795332665552	7.6498777225	NA
CL(18:2_18:2_18:2_20:3)-H | CL(18:2_18:2_18:2_20:3)-H | 1473.9806	CL(18:2_18:2_18:2_20:3)-H	CL(18:2_18:2_18:2_20:3)-H	CL	1473.9806045300002	9	9	1	1	78.60791985091316	TRUE	TRUE	TRUE	TRUE	1	FALSE	84374804.28	NA	16.640979884360394	NA
