batch	n_features_used	factor_between_panelB	factor_min	factor_q1	factor_median	factor_q3	factor_max
batch2	3	4.305778370848097	1	2.6528891854240486	4.305778370848097	5.979822299701592	7.653866228555086
batch3	3	1	1	1	1	1.047368448664045	1.0947368973280904
batch4	3	0.8588330455183752	0.5927249452839107	0.725778995401143	0.8588330455183752	0.9052475571849915	0.9516620688516078
