batch	sample_id	intensity	lipidName	LipidIon	Class	CalcMz	qc_grade	qc_sn	qc_rt	qc_height	is_qc
batch1	HO_7	28482684.26	PE(20:1_22:4)-H	PE(20:1_22:4)-H	PE	820.5861805	NA	3.591195768443471	NA	NA	FALSE
batch1	HO_6	28533269.95	PE(20:1_22:4)-H	PE(20:1_22:4)-H	PE	820.5861805	NA	16.216107428194288	NA	NA	FALSE
batch1	HO_5	44731575.04	PE(20:1_22:4)-H	PE(20:1_22:4)-H	PE	820.5861805	NA	2.1999538551817404	NA	NA	FALSE
batch1	QC_1	14451265.61	PE(20:1_22:4)-H	PE(20:1_22:4)-H	PE	820.5861805	A	1.0677728610458792	NA	NA	TRUE
batch1	WT_4	9189421.798	PE(20:1_22:4)-H	PE(20:1_22:4)-H	PE	820.5861805	NA	-0.068127811	NA	NA	FALSE
batch1	WT_3	15779714.75	PE(20:1_22:4)-H	PE(20:1_22:4)-H	PE	820.5861805	A	11.67160836	NA	NA	FALSE
batch1	WT_2	9034948.788	PE(20:1_22:4)-H	PE(20:1_22:4)-H	PE	820.5861805	B	1.3160333495393202	NA	NA	FALSE
batch1	WT_1	6265125.3	PE(20:1_22:4)-H	PE(20:1_22:4)-H	PE	820.5861805	NA	98.45771889420776	NA	NA	FALSE
batch1	HO_8	16907810.26	PE(20:1_22:4)-H	PE(20:1_22:4)-H	PE	820.5861805	NA	20.919617114868316	NA	NA	FALSE
batch1	HO_7	11444583.8	PE(20:1_22:4)-H	PE(20:1_22:4)-H	PE	820.5861805	NA	0.9408593803949414	NA	NA	FALSE
batch1	HO_6	7164135.301	PE(20:1_22:4)-H	PE(20:1_22:4)-H	PE	820.5861805	NA	4.883060380337599	NA	NA	FALSE
batch1	HO_5	11952959.34	PE(20:1_22:4)-H	PE(20:1_22:4)-H	PE	820.5861805	NA	-0.107197781	NA	NA	FALSE
batch1	QC_1	34840315.91	PE(20:0_22:5)-H	PE(20:0_22:5)-H	PE	820.5861805	NA	3413790.75	NA	NA	TRUE
batch1	WT_4	35751334.65	PE(20:0_22:5)-H	PE(20:0_22:5)-H	PE	820.5861805	A	26.49863535133128	NA	NA	FALSE
