pathway	batch1_KO_1	batch1_KO_2	batch1_WT_1	batch1_WT_2	batch1_WT_3	batch2_KO_1	batch2_KO_2	batch2_KO_3	batch2_KO_4	batch2_WT_1	batch2_WT_2	batch2_WT_3	batch2_WT_4	batch3_KO_1	batch3_KO_2	batch3_KO_3	batch3_WT_1	batch3_WT_2	batch3_WT_3
EphB1_AMPK_energy_sensing	3.8971004726080283	3.808619270206669	3.881721912669776	3.870929734942866	3.885004828976082	4.14367008900477	4.157149896717016	4.004509347893526	4.126885430628838	4.149454672044928	4.101174212233608	4.121381193556955	4.0717633780154445	4.2183681104759305	4.194520860606557	4.164200734330425	4.192295310105104	4.186821929392827	3.9982581570116955
EphB1_cytoskeleton_FAQ_Src_Rho	4.67901690660089	4.6793779384846586	4.640661536000559	4.6747165634476735	4.55147686370514	4.791091913634378	4.738848406772419	4.734511448714994	4.901120403782554	4.740361987866693	4.6506109574364425	4.781144826605542	4.794537119002376	4.6996955506666405	4.69123393831864	4.682060075598917	4.733095500848992	4.747626076689298	4.613856962400914
EphB1_integrin_caveolae_membrane_microdomain	6.1957130452313125	6.201445208983485	6.169372179177057	6.100844093313104	6.094460896281863	6.319276533546678	6.2643703522138585	6.227040972120715	6.38039569350419	6.393407767660116	6.3785114907235085	6.364195540125358	6.401229697443914	6.394780501728499	6.23990114003641	6.250043052736697	6.297983090936092	6.274417001887578	6.284812739943949
EphB1_JAK_STAT_inflammatory	4.58052368605048	4.579179514805977	4.776931297248446	4.757682156913866	4.555106623215637	5.809858810146012	5.521470887467098	6.501923177213385	5.826754594723548	5.034266643585717	5.16146216550341	5.280618516458343	5.274835215255952	4.169316643228736	4.193131846246147	4.299317205099525	4.3763938635357365	4.464560365952185	6.901702688919747
EphB1_MAPK_ERK_p38_JNK	5.163860570030384	5.146240937541653	5.195430111564304	5.152329277532522	5.113683494389739	5.186730507565197	5.181327222727249	5.175408638746955	5.2176637469825495	5.228384779639121	5.207094793181255	5.251775992182156	5.177222825472639	5.303448504203513	5.295155085033529	5.239413484769698	5.346590859422211	5.321539280977925	5.263631204381748
EphB1_mito_stress_cell_death	5.718569820235276	5.78332617215999	5.7345394749742935	5.744298283126397	5.8001169911359955	5.664088172538247	5.6011641191776445	5.895470512579576	5.629893664530019	5.516202343205403	5.52409978555279	5.536783168045365	5.562715307034977	5.509230191279947	5.470055711031426	5.497986595229096	5.495823905503642	5.486496584802008	5.961452417513265
EphB1_NFkB_inflammation_ROS	4.319437288861262	4.29789442957567	4.459239782814509	4.4357973356968925	4.2060917656727534	4.724111822709746	4.630231998302167	5.284508230489604	4.788244773671611	4.469153994600271	4.5156433171083235	4.709942390648476	4.604068494084101	4.228317194098143	4.230974770945942	3.982369277590927	4.401935245808205	4.347656823676522	5.665044655277165
EphB1_PGC1_NRF_mito_biogenesis	4.614283502329889	4.599787567312256	4.648134625460186	4.61342938763185	4.665384148045895	4.654355808239485	4.669275850682715	4.601991176164564	4.697644565544291	4.731943477513397	4.642776021581538	4.653972608569875	4.604596367375636	4.736110697057559	4.733094353349117	4.682949937980988	4.68731949522093	4.690707052273883	4.5707514270558445
EphB1_PI3K_AKT_mTOR	2.545600843061313	2.534679612119679	2.564047542139928	2.5711732569048693	2.534340162142992	2.5047445017873113	2.5079328926072284	2.4757141651752184	2.4594570353222522	2.5358082337769114	2.530784292163669	2.5233485726755216	2.515451780511248	2.581200105384207	2.5859830477602825	2.581368878921672	2.642771587237475	2.647180345774737	2.5685242249197913
