axis	n_batch_rna	Z_rna_overall	p_rna_overall	n_batch_lipid	Z_lipid_overall	p_lipid_overall	n_batch_multiomics	Z_multiomics_overall	p_multiomics_overall
Membrane context	3	1.542174650916626	0.12303115826777278	4	2.8134264888721408	0.004901659208675622	4	3.0142359842199453	0.0025762733082591396
Oxidation	3	1.2637676245247227	0.20631344477481486	4	-0.15065759384445215	0.8802458265242101	4	0.5606358245551424	0.5750458243547392
Remodeling	3	0.4708652418758696	0.6377369706983472	4	0.06574140009666724	0.9475837111771782	4	0.43196340623114254	0.6657680097439058
Supply	3	0.6866711856789027	0.4922899586343037	4	-0.49593806833986825	0.6199381065504275	4	-0.03691229225925896	0.970554938621968
Synthesis	3	-0.06094232660187775	0.9514051403173397	4	-0.9946577763695444	0.3199027369628406	4	-0.7382329021823067	0.4603729322158428
Transport	3	0.2990660677079981	0.7648896361184174	3	1.415594237978296	0.15689433931634233	3	1.2124479295821768	0.225340963285691
