feature_id	lipidName	LipidIon	Class	CalcMz	logFC	AveExpr	t	P.Value	adj.P.Val	B	sig_FDR_0.05	sig_FDR_0.05_logFC1
CL(18:2_16:1_18:2_18:2)-H | CL(18:2_16:1_18:2_18:2)-H | 1421.9493	CL(18:2_16:1_18:2_18:2)-H	CL(18:2_16:1_18:2_18:2)-H	CL	1421.949305	-3.398216683533378	23.32846336718341	-2.5048968066080555	0.03665997223879963	0.514582896612364	-4.492709887656911	FALSE	FALSE
CL(18:2_16:1_20:4_18:2) | CL(18:2_16:1_20:4_18:2)-H | 1445.9493	CL(18:2_16:1_20:4_18:2)	CL(18:2_16:1_20:4_18:2)-H	CL	1445.949305	-0.023883046411845604	20.65486430931885	-0.021654135077047335	0.9830092726726674	0.9966830952847249	-4.659600654812893	FALSE	FALSE
CL(18:2_18:1_15:1_18:1) | CL(18:2_18:1_15:1_18:1)-H | 1411.9650	CL(18:2_18:1_15:1_18:1)	CL(18:2_18:1_15:1_18:1)-H	CL	1411.964955	-0.367674564897598	19.540671612959166	-1.3048278372855	0.22823043791903955	0.6171046520983202	-4.576126486775067	FALSE	FALSE
CL(18:2_18:1_16:1_16:1) | CL(18:2_18:1_16:1_16:1)-H | 1397.9493	CL(18:2_18:1_16:1_16:1)	CL(18:2_18:1_16:1_16:1)-H	CL	1397.949305	-0.35765588831557427	22.03192060410432	-1.7316800143259334	0.12156962903837677	0.5295607127169472	-4.545614320831509	FALSE	FALSE
CL(18:2_18:1_16:1_18:1) | CL(18:2_18:1_16:1_18:1)-H | 1425.9806	CL(18:2_18:1_16:1_18:1)	CL(18:2_18:1_16:1_18:1)-H	CL	1425.980605	0.14425857929304292	24.361782867121015	0.4991890665816262	0.6248875813253119	0.8665482525044333	-4.643791063294329	FALSE	FALSE
CL(18:2_18:1_18:1_18:2) | CL(18:2_18:1_18:1_18:2)-H | 1451.9963	CL(18:2_18:1_18:1_18:2)	CL(18:2_18:1_18:1_18:2)-H	CL	1451.996255	0.030118823809403387	24.52611654847889	0.031408363070388544	0.9752148342067686	0.9963075546339477	-4.691044255069663	FALSE	FALSE
CL(18:2_18:1_18:1_18:2)-H | CL(18:2_18:1_18:1_18:2)-H | 1451.9963	CL(18:2_18:1_18:1_18:2)-H	CL(18:2_18:1_18:1_18:2)-H	CL	1451.996255	-9.44232280319523	22.695343521152015	-1.7455772111278482	0.11902911419553258	0.5295607127169472	-4.544611669844115	FALSE	FALSE
CL(18:2_18:1_18:1_22:6) | CL(18:2_18:1_18:1_22:6)-H | 1499.9963	CL(18:2_18:1_18:1_22:6)	CL(18:2_18:1_18:1_22:6)-H	CL	1499.996255	-0.1985374320883741	24.520683899382217	-0.6549854046354259	0.5308541109699607	0.8117223039425573	-4.614946803645374	FALSE	FALSE
CL(18:2_18:1_18:2_18:2) | CL(18:2_18:1_18:2_18:2)-H | 1449.9806	CL(18:2_18:1_18:2_18:2)	CL(18:2_18:1_18:2_18:2)-H	CL	1449.980605	0.5258946501030938	25.1471824900418	0.7303437104396242	0.47255431742060805	0.7690014358024801	-4.643518831547445	FALSE	FALSE
CL(18:2_18:1_18:2_18:2)-H | CL(18:2_18:1_18:2_18:2)-H | 1449.9806	CL(18:2_18:1_18:2_18:2)-H	CL(18:2_18:1_18:2_18:2)-H	CL	1449.9806045300002	-3.056672797357128	26.07886968981178	-2.417841776584761	0.04198990211827799	0.514582896612364	-4.49823685422122	FALSE	FALSE
CL(18:2_18:1_18:2_20:3) | CL(18:2_18:1_18:2_20:3)-H | 1475.9963	CL(18:2_18:1_18:2_20:3)	CL(18:2_18:1_18:2_20:3)-H	CL	1475.996255	-0.566277583360982	25.388922713676724	-1.3791826538585177	0.21028831368575238	0.6020403963325379	-4.574619472841439	FALSE	FALSE
CL(18:2_18:1_18:2_20:4) | CL(18:2_18:1_18:2_20:4)-H | 1473.9806	CL(18:2_18:1_18:2_20:4)	CL(18:2_18:1_18:2_20:4)-H	CL	1473.980605	-0.058006649487052545	25.498734180883442	-0.22072208698016293	0.8282849625259434	0.9618564970446974	-4.656495364422874	FALSE	FALSE
CL(18:2_18:1_18:2_22:6) | CL(18:2_18:1_18:2_22:6)-H | 1497.9806	CL(18:2_18:1_18:2_22:6)	CL(18:2_18:1_18:2_22:6)-H	CL	1497.980605	0.3739311616562249	22.04842007108974	0.355518577777031	0.7271510118181601	0.9460539934524266	-4.651535363139327	FALSE	FALSE
CL(18:2_18:1_20:4_20:4)-H | CL(18:2_18:1_20:4_20:4)-H | 1497.9806	CL(18:2_18:1_20:4_20:4)-H	CL(18:2_18:1_20:4_20:4)-H	CL	1497.980605	-11.584888216917664	15.740398782482394	-2.306740444052117	0.04994112822658261	0.514582896612364	-4.50548078787096	FALSE	FALSE
CL(18:2_18:2_16:1_16:1) | CL(18:2_18:2_16:1_16:1)-H | 1395.9337	CL(18:2_18:2_16:1_16:1)	CL(18:2_18:2_16:1_16:1)-H	CL	1395.933655	9.071799165579504	13.657863960415307	1.969021901257067	0.0844696980075707	0.514582896612364	-4.5286337054736405	FALSE	FALSE
CL(18:2_18:2_18:1_20:3) | CL(18:2_18:2_18:1_20:3)-H | 1475.9963	CL(18:2_18:2_18:1_20:3)	CL(18:2_18:2_18:1_20:3)-H	CL	1475.996255	0.7344178018019407	24.29228497801173	0.68124394295165	0.5054581592859992	0.7927744771245847	-4.633071739712392	FALSE	FALSE
CL(18:2_18:2_18:2_18:2) | CL(18:2_18:2_18:2_18:2)-H | 1447.9650	CL(18:2_18:2_18:2_18:2)	CL(18:2_18:2_18:2_18:2)-H	CL	1447.964955	-0.0601846609363274	24.807929422907428	-0.1078776317487596	0.9150283020727277	0.9831660375961376	-4.690073824156605	FALSE	FALSE
CL(18:2_18:2_18:2_18:2)-H | CL(18:2_18:2_18:2_18:2)-H | 1447.9650	CL(18:2_18:2_18:2_18:2)-H	CL(18:2_18:2_18:2_18:2)-H	CL	1447.9649545300001	-2.524732817373336	26.040199111356852	-2.2668878345014716	0.0531464968459346	0.514582896612364	-4.508128675231445	FALSE	FALSE
CL(18:2_18:2_18:2_20:3) | CL(18:2_18:2_18:2_20:3)-H | 1473.9806	CL(18:2_18:2_18:2_20:3)	CL(18:2_18:2_18:2_20:3)-H	CL	1473.980605	1.3329736016703335	22.64118278773301	1.8100784316503578	0.1078759706958057	0.5276536450574504	-4.539967390574399	FALSE	FALSE
CL(18:2_18:2_18:2_20:3)-H | CL(18:2_18:2_18:2_20:3)-H | 1473.9806	CL(18:2_18:2_18:2_20:3)-H	CL(18:2_18:2_18:2_20:3)-H	CL	1473.9806045300002	-8.655535144875282	22.695667570520882	-1.600742773483354	0.14809976641484868	0.5543162685812908	-4.555072069995655	FALSE	FALSE
CL(18:2_18:2_18:2_20:4) | CL(18:2_18:2_18:2_20:4)-H | 1471.9650	CL(18:2_18:2_18:2_20:4)	CL(18:2_18:2_18:2_20:4)-H	CL	1471.964955	0.15050657254134378	23.253261599473614	0.2862629115876467	0.7772393746211391	0.9618564970446974	-4.683688432813332	FALSE	FALSE
CL(18:2_18:2_18:2_20:4)-H | CL(18:2_18:2_18:2_20:4)-H | 1471.9650	CL(18:2_18:2_18:2_20:4)-H	CL(18:2_18:2_18:2_20:4)-H	CL	1471.9649545300001	-2.85058698287791	23.880325051317485	-2.607959779192248	0.03122794387987445	0.514582896612364	-4.4863441943684546	FALSE	FALSE
CL(18:2_18:2_18:2_22:5)-H | CL(18:2_18:2_18:2_22:5)-H | 1497.9806	CL(18:2_18:2_18:2_22:5)-H	CL(18:2_18:2_18:2_22:5)-H	CL	1497.980605	-12.739911773380971	18.69223582380621	-2.0662225853919156	0.07265266350624575	0.514582896612364	-4.521818058216022	FALSE	FALSE
CL(18:2_18:2_20:4_20:4) | CL(18:2_18:2_20:4_20:4)-H | 1495.9650	CL(18:2_18:2_20:4_20:4)	CL(18:2_18:2_20:4_20:4)-H	CL	1495.964955	0.6761182324164599	20.655671199266973	1.2289955376186545	0.23684244506751356	0.6267951576534198	-4.569133804193195	FALSE	FALSE
CL(18:2_20:3_20:4_18:1) | CL(18:2_20:3_20:4_18:1)-H | 1499.9963	CL(18:2_20:3_20:4_18:1)	CL(18:2_20:3_20:4_18:1)-H	CL	1499.996255	-0.604769233148418	24.216403733718582	-1.5667841573798247	0.16114654067922615	0.5863943563605174	-4.5635282983630505	FALSE	FALSE
CL(18:2_20:4_18:2_16:1) | CL(18:2_20:4_18:2_16:1)-H | 1445.9493	CL(18:2_20:4_18:2_16:1)	CL(18:2_20:4_18:2_16:1)-H	CL	1445.949305	-0.09645026163347742	21.41417724932902	-0.17362157825002436	0.8664754805875685	0.9651389109737464	-4.629549799075219	FALSE	FALSE
CL(18:2_20:4_18:2_20:4) | CL(18:2_20:4_18:2_20:4)-H | 1495.9650	CL(18:2_20:4_18:2_20:4)	CL(18:2_20:4_18:2_20:4)-H	CL	1495.964955	0.10960138055276028	22.862032693265576	0.4700496433816447	0.6508662226805728	0.8881611996995316	-4.622393339922777	FALSE	FALSE
CL(18:2_20:4_22:6_18:2) | CL(18:2_20:4_22:6_18:2)-H | 1519.9650	CL(18:2_20:4_22:6_18:2)	CL(18:2_20:4_22:6_18:2)-H	CL	1519.964955	0.18575465638030494	20.372767039543945	0.5975566226456651	0.5666606800519953	0.8294139562772221	-4.617480731612347	FALSE	FALSE
CL(18:3_20:4_18:2_18:2) | CL(18:3_20:4_18:2_18:2)-H | 1469.9493	CL(18:3_20:4_18:2_18:2)	CL(18:3_20:4_18:2_18:2)-H	CL	1469.949305	-0.15342401207442227	23.42042468423203	-0.316708299283394	0.7595711965225578	0.9618564970446974	-4.626880444820613	FALSE	FALSE
CL(19:1_18:2_18:1_18:2) | CL(19:1_18:2_18:1_18:2)-H | 1466.0119	CL(19:1_18:2_18:1_18:2)	CL(19:1_18:2_18:1_18:2)-H	CL	1466.011905	0.8984396474079497	20.33545224693234	0.8516067808179484	0.4191918359352579	0.755443111257543	-4.604938006365773	FALSE	FALSE
CL(19:1_18:2_18:2_18:2) | CL(19:1_18:2_18:2_18:2)-H | 1463.9963	CL(19:1_18:2_18:2_18:2)	CL(19:1_18:2_18:2_18:2)-H	CL	1463.996255	-0.15623259264494999	20.540055145505075	-0.6728405574213946	0.5200061461351344	0.8061633744816876	-4.614120770497914	FALSE	FALSE
CL(20:2_18:1_18:2_18:2) | CL(20:2_18:1_18:2_18:2)-H | 1478.0119	CL(20:2_18:1_18:2_18:2)	CL(20:2_18:1_18:2_18:2)-H	CL	1478.011905	-2.0457372553488344	24.025771983902864	-2.2068767676283216	0.06308540455064235	0.514582896612364	-4.526956841197756	FALSE	FALSE
CL(20:2_18:2_18:1_18:2)-H | CL(20:2_18:2_18:1_18:2)-H | 1478.0119	CL(20:2_18:2_18:1_18:2)-H	CL(20:2_18:2_18:1_18:2)-H	CL	1478.011905	-14.056688370754003	19.717068386955255	-2.213463732345197	0.05776658142599237	0.514582896612364	-4.51171705298635	FALSE	FALSE
CL(20:4_18:0_18:1_18:2) | CL(20:4_18:0_18:1_18:2)-H | 1478.0119	CL(20:4_18:0_18:1_18:2)	CL(20:4_18:0_18:1_18:2)-H	CL	1478.011905	0.007671783602540616	25.881018370850374	0.032173546237014676	0.9751218354308974	0.9963075546339477	-4.630670584669364	FALSE	FALSE
CL(20:4_18:1_18:2_20:3)-H | CL(20:4_18:1_18:2_20:3)-H | 1499.9963	CL(20:4_18:1_18:2_20:3)-H	CL(20:4_18:1_18:2_20:3)-H	CL	1499.996255	-8.678764235168002	21.323760821191563	-1.7067187247435327	0.12626015947140906	0.5295607127169472	-4.547416424161642	FALSE	FALSE
CL(20:5_16:1_18:2_18:2) | CL(20:5_16:1_18:2_18:2)-H | 1443.9337	CL(20:5_16:1_18:2_18:2)	CL(20:5_16:1_18:2_18:2)-H	CL	1443.933655	-1.3869917399024898	20.244051556436908	-1.8083288829325654	0.11348997580382321	0.5295607127169472	-4.549301805436502	FALSE	FALSE
CL(20:5_18:2_16:1_16:1) | CL(20:5_18:2_16:1_16:1)-H | 1417.9180	CL(20:5_18:2_16:1_16:1)	CL(20:5_18:2_16:1_16:1)-H	CL	1417.918005	-1.2855726254579047	18.65924988307246	-1.3190456391603544	0.22866146251741223	0.6171046520983202	-4.578135782443887	FALSE	FALSE
CL(20:5_18:2_16:1_18:2) | CL(20:5_18:2_16:1_18:2)-H | 1443.9337	CL(20:5_18:2_16:1_18:2)	CL(20:5_18:2_16:1_18:2)-H	CL	1443.933655	-0.10376554821458285	21.168246881809868	-0.4416337977317374	0.670447427749236	0.9008062875399991	-4.623346117406224	FALSE	FALSE
CL(20:5_18:2_18:2_18:2) | CL(20:5_18:2_18:2_18:2)-H | 1469.9493	CL(20:5_18:2_18:2_18:2)	CL(20:5_18:2_18:2_18:2)-H	CL	1469.949305	10.749349828768473	15.13453063902051	2.2633999427065494	0.05343659562556196	0.514582896612364	-4.508361611734837	FALSE	FALSE
CL(20:5_18:2_18:2_18:2)-H | CL(20:5_18:2_18:2_18:2)-H | 1469.9493	CL(20:5_18:2_18:2_18:2)-H	CL(20:5_18:2_18:2_18:2)-H	CL	1469.949305	-12.410438276558924	18.106356324958583	-2.084387799858746	0.07063015219974714	0.514582896612364	-4.520556406037486	FALSE	FALSE
CL(20:5_18:2_18:2_20:4) | CL(20:5_18:2_18:2_20:4)-H | 1493.9493	CL(20:5_18:2_18:2_20:4)	CL(20:5_18:2_18:2_20:4)-H	CL	1493.949305	0.16820217895335937	21.390640927636568	0.6643061411075902	0.5251741554734226	0.8093860513766866	-4.614517809565902	FALSE	FALSE
CL(20:5_20:4_18:2_18:2) | CL(20:5_20:4_18:2_18:2)-H | 1493.9493	CL(20:5_20:4_18:2_18:2)	CL(20:5_20:4_18:2_18:2)-H	CL	1493.949305	-1.214373734886596	19.617950358851044	-1.7070667066426934	0.13156772834202624	0.5303191511632442	-4.555232224669641	FALSE	FALSE
CL(21:0_22:4_18:1_18:0) | CL(21:0_22:4_18:1_18:0)-H | 1552.1215	CL(21:0_22:4_18:1_18:0)	CL(21:0_22:4_18:1_18:0)-H	CL	1552.121455	0.22488800914599882	24.348431330116792	0.8906784741037379	0.40267379830882283	0.753575251120797	-4.6014882021178165	FALSE	FALSE
CL(21:0_22:6_16:0_18:1) | CL(21:0_22:6_16:0_18:1)-H | 1520.0589	CL(21:0_22:6_16:0_18:1)	CL(21:0_22:6_16:0_18:1)-H	CL	1520.058855	-0.12150824506824395	22.33848053697431	-0.5833018086444177	0.5757599255533461	0.8334204447236281	-4.618079802378087	FALSE	FALSE
CL(22:1_24:1_18:0_18:1) | CL(22:1_24:1_18:0_18:1)-H | 1598.1997	CL(22:1_24:1_18:0_18:1)	CL(22:1_24:1_18:0_18:1)-H	CL	1598.199705	-0.7679125784898391	18.958293194475964	-1.2468649589498364	0.25254609500747577	0.6441251740169268	-4.582308338726298	FALSE	FALSE
CL(23:0_20:3_18:0_22:4) | CL(23:0_20:3_18:0_22:4)-H | 1604.1528	CL(23:0_20:3_18:0_22:4)	CL(23:0_20:3_18:0_22:4)-H	CL	1604.152755	0.5295811319719687	22.27105192620933	1.8894397194422203	0.10075611936839311	0.514582896612364	-4.544608938448925	FALSE	FALSE
CL(23:0_22:5_18:0_18:1)-H | CL(23:0_22:5_18:0_18:1)-H | 1578.1371	CL(23:0_22:5_18:0_18:1)-H	CL(23:0_22:5_18:0_18:1)-H	CL	1578.137105	0.41981269573461677	24.02155951829405	2.0216555120578277	0.07785684080969621	0.514582896612364	-4.524930101655986	FALSE	FALSE
CL(24:0_16:0_18:0_14:0)-2H | CL(24:0_16:0_18:0_14:0)-2H | 731.5414	CL(24:0_16:0_18:0_14:0)-2H	CL(24:0_16:0_18:0_14:0)-2H	CL	731.5414390299999	-0.04957090123350445	24.012963341505206	-0.2076287458083119	0.8407066329131134	0.9618564970446974	-4.629053124910791	FALSE	FALSE
CL(24:0_18:2_18:1_18:1)-2H | CL(24:0_18:2_18:1_18:1)-2H | 769.5571	CL(24:0_18:2_18:1_18:1)-2H	CL(24:0_18:2_18:1_18:1)-2H	CL	769.5570890299999	-0.37248992113009927	25.708810345211205	-0.7848698504358809	0.455140801252242	0.7656176192805226	-4.608550526175617	FALSE	FALSE
CL(64:4) | CL(64:4)-H | 1343.9024	CL(64:4)	CL(64:4)-H	CL	1343.902355	-7.061519580840104	15.57412894175898	-1.7220825093413106	0.12872376911664624	0.5295607127169472	-4.554348747964722	FALSE	FALSE
CL(66:1)-2H | CL(66:1)-2H | 688.4867	CL(66:1)-2H	CL(66:1)-2H	CL	688.4866640299999	0.17457087548930483	27.517034585186835	0.8115871187670974	0.4405046350076852	0.7656176192805226	-4.607129168666165	FALSE	FALSE
CL(66:3)-2H | CL(66:3)-2H | 686.4710	CL(66:3)-2H	CL(66:3)-2H	CL	686.4710140299999	0.16684713543338786	22.810698577446125	0.8082136936811257	0.4423346995501093	0.7656176192805226	-4.607310501387134	FALSE	FALSE
CL(66:4) | CL(66:4)+H | 1373.9482	CL(66:4)	CL(66:4)+H	CL	1373.948207	-2.574740811870251	19.567097434891505	-2.5520482475365	0.03798820099370577	0.514582896612364	-4.50943718376994	FALSE	FALSE
CL(67:0) | CL(67:0)-2H | 696.5023	CL(67:0)	CL(67:0)-2H	CL	696.502314	-0.014542508511909759	23.976667817047016	-0.061962568184756435	0.9521126734872145	0.9957568449572634	-4.630562272030421	FALSE	FALSE
CL(67:0) | CL(67:0)-H | 1394.0119	CL(67:0)	CL(67:0)-H	CL	1394.011905	-0.8402636085933335	18.342197825657724	-0.9549075758174607	0.37142796535683803	0.7103220943320553	-4.598265817790327	FALSE	FALSE
