iter	ab
1	0.5658970154506623
2	NA
3	1.0200689198906632
4	0.7606125700266243
5	0.44844386889701643
6	0.9279778838961014
7	1.1840592111090997
8	0.43950805148624544
9	NA
10	0.34496666607025034
11	0.5658970154506621
12	0.3449666660702502
13	0.4593477943003214
14	NA
15	0.927711305591488
16	1.0200689198906625
17	1.1840592111091002
18	0.9229005980316006
19	5.79613651819754e-4
20	1.1840592111091002
21	NA
22	0.1691687014390116
23	0.6061621637803795
24	0.16916870143901164
25	1.2919493100271855
26	NA
27	0.6349024438924986
28	0.9601215024645424
29	0.6349024438924986
30	1.4888830452320423
31	NA
32	0.26086962756369114
33	-0.06455185048359811
34	1.8264836853914246
35	0.8743164371020683
36	0.5389063077703333
37	0.5658970154506621
38	0.7651653721633348
39	0.13084254192265546
40	0.44844386889701615
41	1.3012683776593912
42	1.724090815371
43	0.7326902523346438
44	NA
45	1.5145792910072668
46	1.7240908153710002
47	-0.011339574507420618
48	1.578338332582405
49	0.5658970154506621
50	1.039305090021915
51	1.7240908153709995
52	NA
53	0.9601215024645425
54	0.04529992998673806
55	1.0200689198906634
56	NA
57	NA
58	0.6096287911465667
59	1.1658214026792582
60	0.830296836298753
61	0.927977883896102
62	NA
63	1.585805984129515
64	NA
65	1.8264836853914244
66	0.2608696275636912
67	NA
68	NA
69	NA
70	1.2919493100271857
71	-0.13167842513837522
72	0.9878807309069646
73	1.4888830452320427
74	0.7606125700266237
75	NA
76	0.45934779430032147
77	0.9601215024645423
78	NA
79	1.2759407072422582
80	1.0200689198906634
81	1.1172372417497258
82	0.7606125700266237
83	1.0200689198906627
84	0.6061621637803787
85	1.1840592111091002
86	1.6269224935119362
87	1.821259137230062
88	0.3262369343289091
89	NA
90	0.27858337741319233
91	1.5145792910072668
92	NA
93	1.4888830452320423
94	0.7275936803764335
95	1.8264836853914233
96	-0.13167842513837547
97	0.7606125700266241
98	NA
99	NA
100	0.8199490069054467
101	1.291949310027187
102	NA
103	1.0393050900219143
104	NA
105	0.7326902523346441
106	0.15901555505168724
107	0.27858337741319233
108	0.5658970154506618
109	0.8199490069054461
110	0.8068181726271184
111	NA
112	0.44844386889701643
113	-0.13167842513837544
114	0.2785833774131923
115	1.5145792910072675
116	NA
117	-0.13167842513837547
118	-0.011339574507420567
119	1.039305090021914
120	1.4888830452320434
121	1.2919493100271857
122	1.0393050900219143
123	0.7606125700266236
124	0.4484438688970158
125	0.5658970154506621
126	NA
127	NA
128	0.15901555505168724
129	NA
130	0.261105470193491
131	-0.1918478504538529
132	0.7326902523346444
133	0.7326902523346441
134	1.7061448347604697
135	0.47880525600749185
136	0.26110547019349123
137	1.1875527525944412
138	0.9229005980316
139	1.0132043162821647
140	0.26086962756369114
141	0.10899927612353412
142	1.275940707242259
143	NA
144	1.5783383325824052
145	0.2608696275636912
146	0.4484438688970162
147	0.565897015450662
148	-0.13167842513837544
149	1.291949310027186
150	NA
151	0.9601215024645429
152	0.7326902523346439
153	0.7606125700266242
154	1.2759407072422582
155	0.634902443892499
156	0.765165372163335
157	1.5783383325824039
158	0.6061621637803789
159	0.6096287911465669
160	0.44844386889701593
161	0.6061621637803791
162	1.2285584321688754
163	0.10899927612353433
164	0.6189746272696947
165	1.1840592111090997
166	1.10821958153792
167	0.2785833774131922
168	0.9279778838961021
169	NA
170	0.6096287911465668
171	1.8264836853914244
172	0.26086962756369103
173	1.8698432981595936
174	1.6269224935119362
175	0.4395080514862454
176	1.5858059841295151
177	0.4484438688970163
178	1.1082195815379188
179	0.47880525600749146
180	0.6349024438924992
