mediator_col	outcome_col	Y_axis	n_samples	dY_HO_minus_WT	dM_HO_minus_WT	cor_spearman_M_Y	cor_pearson_M_Y	loo_r_neg_n	loo_dM_neg_n	loo_both_ok_n	loo_r_median	loo_r_minabs	group_ref	group_focal	a	b	c_total	c_prime	ab	ab_boot_mean	ab_boot_ci_low	ab_boot_ci_high	p_sobel	dir_c_ok	dir_a_ok	dir_b_ok	dir_ab_ok	loo_ok	shrink_ratio	pass_protective	rank_shrink	rank_cor	rank_dM	rank_loo	rank_sum
EphB1_JAK_STAT_inflammatory	Membrane context_score	Membrane context	5	0.16274547835513412	0.49838447952463305	-0.29999999999999993	-0.10181767639260297	4	1	1	-0.4	0.2	WT	HO	0.4983844795246328	-0.1537569959898387	0.16274547835513403	0.23937557877480084	-0.07663010041966681	-0.2733595458785776	-2.849066633026495	0.25263340408784185	0.6825210872905747	TRUE	FALSE	TRUE	FALSE	FALSE	-0.4708585528407057	FALSE	1	1	1	1	4
EphB1_mito_stress_cell_death	Membrane context_score	Membrane context	5	0.16274547835513412	0.7759722175576904	-0.09999999999999998	-0.06180567109057065	4	0	0	-0.2	0.2	WT	HO	0.7759722175576902	-0.12867951531666694	0.16274547835513403	0.2625972072096568	-0.0998517288545228	-0.13676918582474087	-1.3472869186454957	0.406982841261188	0.6635063054635157	TRUE	FALSE	TRUE	FALSE	FALSE	-0.6135453338779215	FALSE	3	4	3	5.5	15.5
EphB1_PGC1_NRF_mito_biogenesis	Membrane context_score	Membrane context	5	0.16274547835513412	0.8303628101000016	-0.09999999999999998	0.0015996761302374991	4	0	0	-0.2	0.2	WT	HO	0.8303628101000012	-0.11436751682717586	0.16274547835513403	0.25771201101190694	-0.09496653265677292	-0.19177883576370663	-1.990535755876396	0.6070408649490137	0.7098999822512817	TRUE	FALSE	TRUE	FALSE	FALSE	-0.5835279334123329	FALSE	2	4	4	5.5	15.5
EphB1_PI3K_AKT_mTOR	Membrane context_score	Membrane context	5	0.16274547835513412	0.7285637101032356	-0.09999999999999998	-0.02979659329746564	4	0	0	-0.2	0.2	WT	HO	0.7285637101032353	-0.7644078952016442	0.16274547835513403	0.719665330515449	-0.5569198521603149	-2.877169570999485	-27.84010390494505	1.1612103217217566	0.2333920041019553	TRUE	FALSE	TRUE	FALSE	FALSE	-3.422029648928468	FALSE	8	4	2	5.5	19.5
EphB1_cytoskeleton_FAQ_Src_Rho	Membrane context_score	Membrane context	5	0.16274547835513412	1.0750353293151753	-0.09999999999999998	-0.0687025700638341	4	0	0	-0.2	0.2	WT	HO	1.075035329315175	-0.46103124780688737	0.16274547835513403	0.6583703576657972	-0.4956248793106632	-0.4374105726277664	-1.7899492567002795	0.937313863778032	0.240736850095832	TRUE	FALSE	TRUE	FALSE	FALSE	-3.045398768186594	FALSE	7	4	7	5.5	23.5
EphB1_NFkB_inflammation_ROS	Membrane context_score	Membrane context	5	0.16274547835513412	0.8818199085214276	-0.09999999999999998	-0.12995920850681533	4	0	0	-0.2	0.2	WT	HO	0.8818199085214274	-0.6839748281108676	0.16274547835513403	0.7658880987108183	-0.6031426203556843	-0.3436291292010138	-1.0511885651314756	1.6833184311977427	0.11105596305118735	TRUE	FALSE	TRUE	FALSE	FALSE	-3.7060484042422384	FALSE	9	4	5	5.5	23.5
EphB1_AMPK_energy_sensing	Membrane context_score	Membrane context	5	0.16274547835513412	1.002486226415546	0	-0.12361208564096589	4	0	0	-0.2	0.2	WT	HO	1.002486226415546	-0.4276136932640748	0.16274547835513403	0.5914223160790512	-0.4286768377239171	0.2518239784341286	-1.1674490218037858	5.237566436046876	0.25017590820571134	TRUE	FALSE	TRUE	TRUE	FALSE	-2.634032245052502	FALSE	6	8	6	5.5	25.5
EphB1_integrin_caveolae_membrane_microdomain	Membrane context_score	Membrane context	5	0.16274547835513412	1.3039442487001245	0	0.16088445541594448	4	0	0	-0.2	0.2	WT	HO	1.303944248700124	-0.18711962588808248	0.16274547835513403	0.406739038350818	-0.243993559995684	-0.24886111019270776	-2.3418461437771425	1.3760967874704586	0.6793365400376115	TRUE	FALSE	TRUE	FALSE	FALSE	-1.499234033791433	FALSE	4	8	9	5.5	26.5
EphB1_MAPK_ERK_p38_JNK	Membrane context_score	Membrane context	5	0.16274547835513412	1.1777005820377477	0	0.06625337879578984	4	0	0	-0.2	0.2	WT	HO	1.1777005820377473	-0.2911031789688388	0.16274547835513403	0.505577861659774	-0.34283238330464	-0.1504557299406394	-1.645412422764747	1.763037920041304	0.4997199606597882	TRUE	FALSE	TRUE	FALSE	FALSE	-2.1065555047651183	FALSE	5	8	8	5.5	26.5
