M	sample_left_out	beta_M_loo	beta_M_full
EphB1_JAK_STAT_inflammatory	batch1_KO_1	-0.27629966918011145	-0.2964378372695424
EphB1_JAK_STAT_inflammatory	batch1_KO_2	-0.2884496301210485	-0.2964378372695424
EphB1_JAK_STAT_inflammatory	batch1_WT_1	-0.31436970317889623	-0.2964378372695424
EphB1_JAK_STAT_inflammatory	batch1_WT_2	-0.2900207139572749	-0.2964378372695424
EphB1_JAK_STAT_inflammatory	batch1_WT_3	-0.31240707216619357	-0.2964378372695424
EphB1_JAK_STAT_inflammatory	batch2_KO_1	-0.27976699143550077	-0.2964378372695424
EphB1_JAK_STAT_inflammatory	batch2_KO_2	-0.29883160238628337	-0.2964378372695424
EphB1_JAK_STAT_inflammatory	batch2_KO_3	-0.06535238632112197	-0.2964378372695424
EphB1_JAK_STAT_inflammatory	batch2_KO_4	-0.3576639409506857	-0.2964378372695424
EphB1_JAK_STAT_inflammatory	batch2_WT_1	-0.2815397660025796	-0.2964378372695424
EphB1_JAK_STAT_inflammatory	batch2_WT_2	-0.3279523182153961	-0.2964378372695424
EphB1_JAK_STAT_inflammatory	batch2_WT_3	-0.262893055161576	-0.2964378372695424
EphB1_JAK_STAT_inflammatory	batch2_WT_4	-0.3071532827911408	-0.2964378372695424
EphB1_JAK_STAT_inflammatory	batch3_KO_1	-0.29142987051747354	-0.2964378372695424
EphB1_JAK_STAT_inflammatory	batch3_KO_2	-0.3370026363226913	-0.2964378372695424
EphB1_JAK_STAT_inflammatory	batch3_KO_3	-0.27017578838463063	-0.2964378372695424
EphB1_JAK_STAT_inflammatory	batch3_WT_1	-0.30501826519258696	-0.2964378372695424
EphB1_JAK_STAT_inflammatory	batch3_WT_2	-0.3031748595067624	-0.2964378372695424
EphB1_JAK_STAT_inflammatory	batch3_WT_3	-0.44588108647060043	-0.2964378372695424
EphB1_MAPK_ERK_p38_JNK	batch1_KO_1	0.21046491999243275	0.23528398007466853
EphB1_MAPK_ERK_p38_JNK	batch1_KO_2	0.23354085285965634	0.23528398007466853
EphB1_MAPK_ERK_p38_JNK	batch1_WT_1	0.2752004585673273	0.23528398007466853
EphB1_MAPK_ERK_p38_JNK	batch1_WT_2	0.2264275505012362	0.23528398007466853
EphB1_MAPK_ERK_p38_JNK	batch1_WT_3	0.3013761610244999	0.23528398007466853
EphB1_MAPK_ERK_p38_JNK	batch2_KO_1	0.22394991376463402	0.23528398007466853
EphB1_MAPK_ERK_p38_JNK	batch2_KO_2	0.22694699979195956	0.23528398007466853
EphB1_MAPK_ERK_p38_JNK	batch2_KO_3	0.14411169056208945	0.23528398007466853
EphB1_MAPK_ERK_p38_JNK	batch2_KO_4	0.14730544802130316	0.23528398007466853
EphB1_MAPK_ERK_p38_JNK	batch2_WT_1	0.2177467880809007	0.23528398007466853
EphB1_MAPK_ERK_p38_JNK	batch2_WT_2	0.23164929028266162	0.23528398007466853
EphB1_MAPK_ERK_p38_JNK	batch2_WT_3	0.139354990874873	0.23528398007466853
EphB1_MAPK_ERK_p38_JNK	batch2_WT_4	0.2549078554677944	0.23528398007466853
EphB1_MAPK_ERK_p38_JNK	batch3_KO_1	0.2280245509503398	0.23528398007466853
EphB1_MAPK_ERK_p38_JNK	batch3_KO_2	0.2618721863493878	0.23528398007466853
EphB1_MAPK_ERK_p38_JNK	batch3_KO_3	0.35441381573981123	0.23528398007466853
EphB1_MAPK_ERK_p38_JNK	batch3_WT_1	0.2842507277134218	0.23528398007466853
EphB1_MAPK_ERK_p38_JNK	batch3_WT_2	0.24924632626488114	0.23528398007466853
EphB1_MAPK_ERK_p38_JNK	batch3_WT_3	0.2728779556209986	0.23528398007466853
EphB1_mito_stress_cell_death	batch1_KO_1	-0.25998416944325925	-0.2855491042705176
EphB1_mito_stress_cell_death	batch1_KO_2	-0.3130448263063643	-0.2855491042705176
EphB1_mito_stress_cell_death	batch1_WT_1	-0.29735544962212945	-0.2855491042705176
EphB1_mito_stress_cell_death	batch1_WT_2	-0.29319798247009654	-0.2855491042705176
EphB1_mito_stress_cell_death	batch1_WT_3	-0.33030611018137945	-0.2855491042705176
EphB1_mito_stress_cell_death	batch2_KO_1	-0.275481951548898	-0.2855491042705176
EphB1_mito_stress_cell_death	batch2_KO_2	-0.29259331849708503	-0.2855491042705176
EphB1_mito_stress_cell_death	batch2_KO_3	-0.015531037137588416	-0.2855491042705176
EphB1_mito_stress_cell_death	batch2_KO_4	-0.28428020401344073	-0.2855491042705176
EphB1_mito_stress_cell_death	batch2_WT_1	-0.27026467093673284	-0.2855491042705176
EphB1_mito_stress_cell_death	batch2_WT_2	-0.3085898690027598	-0.2855491042705176
EphB1_mito_stress_cell_death	batch2_WT_3	-0.251569680040681	-0.2855491042705176
EphB1_mito_stress_cell_death	batch2_WT_4	-0.290238011622977	-0.2855491042705176
EphB1_mito_stress_cell_death	batch3_KO_1	-0.2803034713472393	-0.2855491042705176
EphB1_mito_stress_cell_death	batch3_KO_2	-0.3363174395614446	-0.2855491042705176
EphB1_mito_stress_cell_death	batch3_KO_3	-0.2556376115677284	-0.2855491042705176
EphB1_mito_stress_cell_death	batch3_WT_1	-0.2931926218424332	-0.2855491042705176
EphB1_mito_stress_cell_death	batch3_WT_2	-0.2961614997946107	-0.2855491042705176
EphB1_mito_stress_cell_death	batch3_WT_3	-0.45135355187062326	-0.2855491042705176
EphB1_NFkB_inflammation_ROS	batch1_KO_1	-0.29078556172977277	-0.29933346807161526
EphB1_NFkB_inflammation_ROS	batch1_KO_2	-0.2921491644368483	-0.29933346807161526
EphB1_NFkB_inflammation_ROS	batch1_WT_1	-0.31299099469838715	-0.29933346807161526
EphB1_NFkB_inflammation_ROS	batch1_WT_2	-0.29124572595904635	-0.29933346807161526
EphB1_NFkB_inflammation_ROS	batch1_WT_3	-0.34169282238919396	-0.29933346807161526
EphB1_NFkB_inflammation_ROS	batch2_KO_1	-0.2975291353075203	-0.29933346807161526
EphB1_NFkB_inflammation_ROS	batch2_KO_2	-0.30934915336649393	-0.29933346807161526
EphB1_NFkB_inflammation_ROS	batch2_KO_3	-0.018300721094132583	-0.29933346807161526
EphB1_NFkB_inflammation_ROS	batch2_KO_4	-0.33079951540158276	-0.29933346807161526
EphB1_NFkB_inflammation_ROS	batch2_WT_1	-0.28430768768680004	-0.29933346807161526
EphB1_NFkB_inflammation_ROS	batch2_WT_2	-0.3319077612284682	-0.29933346807161526
EphB1_NFkB_inflammation_ROS	batch2_WT_3	-0.2970495189190591	-0.29933346807161526
EphB1_NFkB_inflammation_ROS	batch2_WT_4	-0.30720030374837815	-0.29933346807161526
EphB1_NFkB_inflammation_ROS	batch3_KO_1	-0.2944704497197644	-0.29933346807161526
EphB1_NFkB_inflammation_ROS	batch3_KO_2	-0.3278996686051784	-0.29933346807161526
EphB1_NFkB_inflammation_ROS	batch3_KO_3	-0.2558631550246212	-0.29933346807161526
EphB1_NFkB_inflammation_ROS	batch3_WT_1	-0.3025474116243904	-0.29933346807161526
EphB1_NFkB_inflammation_ROS	batch3_WT_2	-0.3060402660357195	-0.29933346807161526
EphB1_NFkB_inflammation_ROS	batch3_WT_3	-0.43380957132792725	-0.29933346807161526
EphB1_PGC1_NRF_mito_biogenesis	batch1_KO_1	0.22395406809912335	0.19784071891680796
EphB1_PGC1_NRF_mito_biogenesis	batch1_KO_2	0.2429847407392145	0.19784071891680796
EphB1_PGC1_NRF_mito_biogenesis	batch1_WT_1	0.2141917417966768	0.19784071891680796
EphB1_PGC1_NRF_mito_biogenesis	batch1_WT_2	0.1871337171728777	0.19784071891680796
EphB1_PGC1_NRF_mito_biogenesis	batch1_WT_3	0.22756941535338093	0.19784071891680796
EphB1_PGC1_NRF_mito_biogenesis	batch2_KO_1	0.1950813859851959	0.19784071891680796
EphB1_PGC1_NRF_mito_biogenesis	batch2_KO_2	0.2053875570732743	0.19784071891680796
EphB1_PGC1_NRF_mito_biogenesis	batch2_KO_3	0.04150865897042601	0.19784071891680796
EphB1_PGC1_NRF_mito_biogenesis	batch2_KO_4	0.11285329737351425	0.19784071891680796
EphB1_PGC1_NRF_mito_biogenesis	batch2_WT_1	0.1738541847284461	0.19784071891680796
EphB1_PGC1_NRF_mito_biogenesis	batch2_WT_2	0.1920010382840927	0.19784071891680796
EphB1_PGC1_NRF_mito_biogenesis	batch2_WT_3	0.20278240840319636	0.19784071891680796
EphB1_PGC1_NRF_mito_biogenesis	batch2_WT_4	0.2091530270655272	0.19784071891680796
EphB1_PGC1_NRF_mito_biogenesis	batch3_KO_1	0.19021488252081362	0.19784071891680796
EphB1_PGC1_NRF_mito_biogenesis	batch3_KO_2	0.26173576225837353	0.19784071891680796
EphB1_PGC1_NRF_mito_biogenesis	batch3_KO_3	0.19871103454986092	0.19784071891680796
EphB1_PGC1_NRF_mito_biogenesis	batch3_WT_1	0.19934718069783422	0.19784071891680796
EphB1_PGC1_NRF_mito_biogenesis	batch3_WT_2	0.20118939392806837	0.19784071891680796
EphB1_PGC1_NRF_mito_biogenesis	batch3_WT_3	0.28350504024647616	0.19784071891680796
EphB1_PI3K_AKT_mTOR	batch1_KO_1	-0.24308969184778728	-0.21047866809513818
EphB1_PI3K_AKT_mTOR	batch1_KO_2	-0.2001983914879745	-0.21047866809513818
EphB1_PI3K_AKT_mTOR	batch1_WT_1	-0.2069355622062226	-0.21047866809513818
EphB1_PI3K_AKT_mTOR	batch1_WT_2	-0.1889390695113548	-0.21047866809513818
EphB1_PI3K_AKT_mTOR	batch1_WT_3	-0.29045474271334126	-0.21047866809513818
EphB1_PI3K_AKT_mTOR	batch2_KO_1	-0.17497347352275275	-0.21047866809513818
EphB1_PI3K_AKT_mTOR	batch2_KO_2	-0.1935005023143055	-0.21047866809513818
EphB1_PI3K_AKT_mTOR	batch2_KO_3	-0.3397553865035982	-0.21047866809513818
EphB1_PI3K_AKT_mTOR	batch2_KO_4	-0.014794916701648293	-0.21047866809513818
EphB1_PI3K_AKT_mTOR	batch2_WT_1	-0.25059467721085965	-0.21047866809513818
EphB1_PI3K_AKT_mTOR	batch2_WT_2	-0.2000863774392535	-0.21047866809513818
EphB1_PI3K_AKT_mTOR	batch2_WT_3	-0.21753276588973378	-0.21047866809513818
EphB1_PI3K_AKT_mTOR	batch2_WT_4	-0.21535241424760565	-0.21047866809513818
EphB1_PI3K_AKT_mTOR	batch3_KO_1	-0.21252351342440512	-0.21047866809513818
EphB1_PI3K_AKT_mTOR	batch3_KO_2	-0.19010603452051342	-0.21047866809513818
EphB1_PI3K_AKT_mTOR	batch3_KO_3	-0.2177197996105308	-0.21047866809513818
EphB1_PI3K_AKT_mTOR	batch3_WT_1	-0.19616866489443946	-0.21047866809513818
EphB1_PI3K_AKT_mTOR	batch3_WT_2	-0.18999870408337158	-0.21047866809513818
EphB1_PI3K_AKT_mTOR	batch3_WT_3	-0.260305102493161	-0.21047866809513818
