M	n_batches	n_beta_pos	n_beta_neg	frac_beta_pos	beta_M_median	beta_M_mean
EphB1_integrin_caveolae_membrane_microdomain	3	2	1	0.6666666666666666	0.848105110711505	0.4860005674521601
EphB1_PGC1_NRF_mito_biogenesis	3	1	2	0.3333333333333333	-0.7512161385621223	-0.5047694730894776
EphB1_cytoskeleton_FAQ_Src_Rho	3	2	1	0.6666666666666666	0.6402404564873508	0.4260630527399693
EphB1_AMPK_energy_sensing	3	1	2	0.3333333333333333	-0.5133582864126245	-0.3199649185187471
EphB1_JAK_STAT_inflammatory	3	2	1	0.6666666666666666	0.38254207613857893	0.3428713448277836
EphB1_PI3K_AKT_mTOR	3	1	2	0.3333333333333333	-0.3766059196817893	-0.13280670508139394
EphB1_MAPK_ERK_p38_JNK	3	2	1	0.6666666666666666	0.32023085101075754	0.02854025878926832
EphB1_mito_stress_cell_death	3	1	2	0.3333333333333333	-0.2763886192823231	-0.15642452179864363
EphB1_NFkB_inflammation_ROS	3	2	1	0.6666666666666666	0.15821307125337214	0.22531920841322192
