Y_axis	outcome_col	M_type	M_axis	mediator_col	n	group_ref	group_focal	a	se_a	p_a	b	se_b	p_b	c_total	se_c_total	p_c_total	c_prime	se_c_prime	p_c_prime	ab	ab_boot_mean	ab_boot_ci_low	ab_boot_ci_high	a_boot_mean	a_boot_ci_low	a_boot_ci_high	b_boot_mean	b_boot_ci_low	b_boot_ci_high	z_sobel	p_sobel	sobel_log10p	label_ab
Membrane context	Membrane context_score	M1_ephb1_downstream_or_other	NA	EphB1_JAK_STAT_inflammatory	5	WT	HO	-0.7037419617071937	0.5436241546620191	0.2861154331173244	0.06034705153807301	0.3492790210825877	0.8787305481918541	0.16274547835513403	0.27052249671773143	0.5898659613234188	0.20521423078778264	0.41058256475577193	0.6667778819533425	-0.04246875243264862	8.080771976014733	-13.723286346992248	83.32121383800423	-0.7011693982788867	-1.135349604399133	0.13833184921842284	-6.385078603066004	-73.38815596108856	12.1513315031048	-0.17125748127178408	0.8640213115125592	0.06347554530101511	a-, b+
Membrane context	Membrane context_score	M1_ephb1_downstream_or_other	NA	EphB1_NFkB_inflammation_ROS	5	WT	HO	-0.33489180392307116	0.5000076108707254	0.5509439532328261	-0.05558469402614548	0.3805463934948772	0.8972626291779615	0.16274547835513403	0.27052249671773143	0.5898659613234188	0.1441306199022062	0.3533502575531165	0.7228700254852725	0.01861485845292781	1.8842563203651657	-0.22178219192413773	26.52508725427903	-0.3249421707312958	-1.0194796559170205	0.4349178216267622	-3.01258061856348	-26.018260492329116	0.4256166853359039	0.14271125020971104	0.8865182312868873	0.05231232868587423	a-, b-
Membrane context	Membrane context_score	M1_ephb1_downstream_or_other	NA	EphB1_integrin_caveolae_membrane_microdomain	5	WT	HO	0.4623044610755857	0.3059648299969014	0.2279665257804965	0.33619045701033173	0.5782380731512594	0.6197637635546613	0.16274547835513403	0.27052249671773143	0.5898659613234188	0.00732313030821775	0.4066493305585874	0.9872671244466484	0.15542234804691626	0.54523410761495406	-0.3131730515085308	4.286444006199416	0.4627616789915715	0.12809973927770055	0.9191959595067022	1.5109868386797651	-0.4483775475957532	4.663253751136795	0.542620235991256	0.5873913032119307	0.23107248783539955	a+, b+
Membrane context	Membrane context_score	M1_ephb1_downstream_or_other	NA	EphB1_PGC1_NRF_mito_biogenesis	5	WT	HO	-0.3604665804603276	0.1637603324147411	0.11504462319456513	-0.18800784977348184	1.1605093537167337	0.886189768507086	0.16274547835513403	0.27052249671773143	0.5898659613234188	0.09497493164758808	0.5323038885201531	0.8748285795741941	0.06777054670754597	-0.1830850660591928	-4.369433966112965	1.3390848730391012	-0.3601139198172406	-0.603763167327167	-0.180903740859271	1.1431190484545009	-2.217897588829693	14.725144902479531	0.16156759868462575	0.8716463745193923	0.05965967188367511	a-, b-
Membrane context	Membrane context_score	M1_ephb1_downstream_or_other	NA	EphB1_cytoskeleton_FAQ_Src_Rho	5	WT	HO	0.36635557255325335	0.4174213151223036	0.4447387828963547	-0.24425612853673212	0.4244684393815584	0.6231081864261003	0.16274547835513403	0.27052249671773143	0.5898659613234188	0.2522300721748496	0.3440389544794114	0.5397580328728555	-0.08948459381971555	-0.05252917404878683	-0.8677195055151122	0.6241573271042512	0.37548500549093233	-0.20626299603739492	0.9844261429154444	-0.3726757329297886	-2.0304825508504702	0.703994526350438	-0.4812278913552957	0.6303545398650492	0.20041511499448153	a+, b-
Membrane context	Membrane context_score	M1_ephb1_downstream_or_other	NA	EphB1_MAPK_ERK_p38_JNK	5	WT	HO	0.2144591030267378	0.4375950155362005	0.657676716836693	-0.08979450592288406	0.43249956152709823	0.854749129217931	0.16274547835513403	0.27052249671773143	0.5898659613234188	0.18200272755208485	0.3406770521311927	0.6466111022571142	-0.01925724919695081	0.04079365201470846	-11.589307449720248	14.971574096599255	0.22430265085907575	-0.4200191297524056	0.8636965812431404	-4.094040030122854	-35.644981468879216	0.5323423711475775	-0.19117066292917348	0.8483918873012766	0.07140349305167397	a+, b-
Membrane context	Membrane context_score	M1_ephb1_downstream_or_other	NA	EphB1_PI3K_AKT_mTOR	5	WT	HO	0.24867199745284296	0.3300237384324947	0.5058941422067152	-0.160773643950792	0.5683617029982677	0.8038643008924387	0.16274547835513403	0.27052249671773143	0.5898659613234188	0.20272538153414965	0.3542971772426587	0.6249365320299369	-0.03997990317901562	-0.03017012090907623	-0.6937525198963457	0.4853510701718229	0.2537759969990763	-0.1514213259705651	0.7197734561392622	-0.6833362204400845	-3.6664334656495137	0.6720889723106173	-0.264825457259345	0.7911439247940222	0.10174450252256374	a+, b-
Membrane context	Membrane context_score	M1_ephb1_downstream_or_other	NA	EphB1_mito_stress_cell_death	5	WT	HO	-0.4123816138220984	0.4371452825058097	0.41509568131246233	-0.21350546848369012	0.4107170397380715	0.6549902153452939	0.16274547835513403	0.27052249671773143	0.5898659613234188	0.07469974870198674	0.35411016830141673	0.8524676807949129	0.0880457296531473	-0.01656304141010478	-0.65992868715181	0.46885456740727344	-0.4175380588535826	-0.9959866264721012	0.16975145967941907	-0.15531980254528208	-1.491087660415079	0.6625878998891316	0.455286053387996	0.6489034584479842	0.18781991118432984	a-, b-
Membrane context	Membrane context_score	M1_ephb1_downstream_or_other	NA	EphB1_AMPK_energy_sensing	5	WT	HO	-0.0994940882081518	0.32568860067986166	0.7799644164105847	-0.35557075734880256	0.5307984925919951	0.5719197338162831	0.16274547835513403	0.27052249671773143	0.5898659613234188	0.12736829005923292	0.30404991453943564	0.7159867027126006	0.0353771882959011	0.00638407535983219	-5.113643971659535	5.79580908046495	-0.09082762482987228	-0.5815741106245325	0.3911675058084494	-1.8341327997799044	-13.07277290604918	1.3363368407267606	0.27795019644395064	0.7810505902595732	0.10732083506124059	a-, b-
