M	n_batches.x	n_pos	n_neg	frac_XM_pos	delta_M	delta_M_mean	n_batches.y	n_beta_pos	n_beta_neg	frac_MZ_pos	beta_M	beta_M_mean	full	n_ok	n_total	frac_ok	beta_M_loo_min	beta_M_loo_max	score_strength	score_robust	score_final
EphB1_PI3K_AKT_mTOR	3	0	3	0	-1.0635294222537133	-1.169528907195301	3	3	0	1	0.7959734199365104	0.6748764704490794	0.7510492034759582	19	19	1	0.6016676679797945	1.0375244032961417	0.8465411514343892	1	0.8465411514343892
EphB1_JAK_STAT_inflammatory	3	1	2	0.3333333333333333	-0.9618591116347599	-0.17680855415726468	3	1	2	0.3333333333333333	-0.8052254641975971	-0.3166729930291503	-0.455652290932496	19	19	1	-0.5682171140873724	-0.23410695537225637	0.7745134496587879	1	0.7745134496587879
EphB1_MAPK_ERK_p38_JNK	3	1	2	0.3333333333333333	-0.8062201824482064	-0.5644574487475382	3	3	0	1	0.7068105941240754	0.6924275489996613	0.6734282099205452	19	19	1	0.5789898364827035	0.7867843837929578	0.5698449661510372	1	0.5698449661510372
EphB1_cytoskeleton_FAQ_Src_Rho	3	2	1	0.6666666666666666	0.697040282728326	0.5277617376671647	3	3	0	1	0.6879017963217936	0.6702761778425468	0.46860533367437346	19	19	1	0.33174261076563594	0.6422995709382833	0.47949526259746633	1	0.47949526259746633
EphB1_NFkB_inflammation_ROS	3	1	2	0.3333333333333333	-0.5600883889626467	-0.1809278249472465	3	1	2	0.3333333333333333	-0.7907185189462717	-0.25590055995879557	-0.4280636034547478	19	19	1	-0.6375569167894672	-0.15477707319695988	0.44287226139954733	1	0.44287226139954733
EphB1_mito_stress_cell_death	3	1	2	0.3333333333333333	-0.2541427103758772	0.08143643732156298	3	0	3	0	-0.9640485463388947	-0.9136057458471938	-0.8830819724990288	19	19	1	-0.9222504278479268	-0.8386436247596913	0.24500591050049117	1	0.24500591050049117
EphB1_integrin_caveolae_membrane_microdomain	3	2	1	0.6666666666666666	0.16514529567391456	0.10738754770267499	3	3	0	1	0.6715391261872576	0.7002146542873748	0.5796026772555647	19	19	1	0.41569334119328893	0.6858762184955249	0.11090152755079688	1	0.11090152755079688
EphB1_PGC1_NRF_mito_biogenesis	3	1	2	0.3333333333333333	-0.05723911660485012	-0.07200539179818059	3	2	1	0.6666666666666666	0.7880155829732987	0.3095333880034209	0.5113052361255204	19	19	1	0.36864722706105346	0.7410895438191325	0.04510531584024759	1	0.04510531584024759
EphB1_AMPK_energy_sensing	3	1	2	0.3333333333333333	-0.056994130531004605	0.003942473406956859	3	3	0	1	0.747683920207741	0.6712460509958407	0.6942556119657135	19	19	1	0.5624023304946792	0.7874709281273087	0.04261359494425322	1	0.04261359494425322
