M	n_batches.x	n_pos	n_neg	frac_XM_pos	delta_M	delta_M_mean	n_batches.y	n_beta_pos	n_beta_neg	frac_MZ_pos	beta_M	beta_M_mean	full	n_ok	n_total	frac_ok	beta_M_loo_min	beta_M_loo_max	score_strength	score_robust	score_final
EphB1_cytoskeleton_FAQ_Src_Rho	3	2	1	0.6666666666666666	0.697040282728326	0.5277617376671647	3	2	1	0.6666666666666666	0.5609375458825167	0.08014521201517386	-0.010724033845047182	13	19	0.6842105263157895	-0.13463870436384978	0.18587384828711648	0.3909960655748827	0.6842105263157895	0.32925984469463804
EphB1_MAPK_ERK_p38_JNK	3	1	2	0.3333333333333333	-0.8062201824482064	-0.5644574487475382	3	1	2	0.3333333333333333	-0.30716030138659633	-0.22112075031477157	-0.21556000719338805	19	19	1	-0.36619953973563923	-0.0940268702151179	0.24763883422474775	1	0.24763883422474775
EphB1_JAK_STAT_inflammatory	3	1	2	0.3333333333333333	-0.9618591116347599	-0.17680855415726468	3	2	1	0.6666666666666666	0.17612564168020658	0.10911828153403536	0.16531551701654193	18	19	0.9473684210526315	-0.06828256838351142	0.5454848248470693	0.16940805324262553	0.9473684210526315	0.1649499465783459
EphB1_NFkB_inflammation_ROS	3	1	2	0.3333333333333333	-0.5600883889626467	-0.1809278249472465	3	2	1	0.6666666666666666	0.14285594986697803	0.23452041909691174	0.09437271555547828	17	19	0.8947368421052632	-0.15062405916494478	0.569542912209696	0.08001195881472434	0.8947368421052632	0.07580080308763358
EphB1_PGC1_NRF_mito_biogenesis	3	1	2	0.3333333333333333	-0.05723911660485012	-0.07200539179818059	3	1	2	0.3333333333333333	-0.9560521732841267	-0.6614857788357825	-0.2059731019556223	19	19	1	-0.40317633521961116	-0.01552592588000225	0.054723581826930504	1	0.054723581826930504
EphB1_PI3K_AKT_mTOR	3	0	3	0	-1.0635294222537133	-1.169528907195301	3	1	2	0.3333333333333333	-0.04747096279062925	-0.24257663343680466	-0.29761511038456273	19	19	1	-0.47103895771137283	-0.029888098744147364	0.050486765630545445	1	0.050486765630545445
EphB1_mito_stress_cell_death	3	1	2	0.3333333333333333	-0.2541427103758772	0.08143643732156298	3	1	2	0.3333333333333333	-0.06052848220519793	-0.0022640399882150053	0.02501272889010698	14	19	0.7368421052631579	-0.29758947404841396	0.41982637815499807	0.015382872522567054	0.7368421052631579	0.013358810348545073
EphB1_AMPK_energy_sensing	3	1	2	0.3333333333333333	-0.056994130531004605	0.003942473406956859	3	1	2	0.3333333333333333	-0.15489477363843573	-0.19931615586848522	0.015019501433785219	13	19	0.6842105263157895	-0.3435231042914824	0.3006615797904495	0.008828092947319417	0.6842105263157895	0.007434183534584771
EphB1_integrin_caveolae_membrane_microdomain	3	2	1	0.6666666666666666	0.16514529567391456	0.10738754770267499	3	2	1	0.6666666666666666	0.013380247886778465	-0.1368700281801206	-0.014397095757706322	11	19	0.5789473684210527	-0.2755449002896648	0.1268215082978014	0.0022096849934523	0.5789473684210527	0.0017444881527255
