M	n_batches	n_beta_pos	n_beta_neg	frac_beta_pos	beta_M_median	beta_M_mean
EphB1_PGC1_NRF_mito_biogenesis	3	1	2	0.3333333333333333	-0.9560521732841267	-0.6614857788357825
EphB1_cytoskeleton_FAQ_Src_Rho	3	2	1	0.6666666666666666	0.5609375458825167	0.08014521201517386
EphB1_MAPK_ERK_p38_JNK	3	1	2	0.3333333333333333	-0.30716030138659633	-0.22112075031477157
EphB1_JAK_STAT_inflammatory	3	2	1	0.6666666666666666	0.17612564168020658	0.10911828153403536
EphB1_AMPK_energy_sensing	3	1	2	0.3333333333333333	-0.15489477363843573	-0.19931615586848522
EphB1_NFkB_inflammation_ROS	3	2	1	0.6666666666666666	0.14285594986697803	0.23452041909691174
EphB1_mito_stress_cell_death	3	1	2	0.3333333333333333	-0.06052848220519793	-0.0022640399882150053
EphB1_PI3K_AKT_mTOR	3	1	2	0.3333333333333333	-0.04747096279062925	-0.24257663343680466
EphB1_integrin_caveolae_membrane_microdomain	3	2	1	0.6666666666666666	0.013380247886778465	-0.1368700281801206
