n	group_ref	group_focal	mediator_col	outcome_col	a	se_a	p_a	b	se_b	p_b	c_total	se_c_total	p_c_total	c_prime	se_c_prime	p_c_prime	ab	se_ab_sobel	z_sobel	p_sobel	ab_boot_mean	ab_boot_ci_low	ab_boot_ci_high	a_boot_mean	a_boot_ci_low	a_boot_ci_high	b_boot_mean	b_boot_ci_low	b_boot_ci_high
5	WT	HO	EphB1_AMPK_energy_sensing	CL_score	-0.0994940882081518	0.32568860067986166	0.7799644164105847	235366695.9514723	1523547265.744459	0.8914079054018482	-1099832037.3874567	705910040.0885181	0.2171063105782819	-1076414442.5791996	872712380.3316158	0.3427108597190466	-23417594.808257032	169864279.17750034	-0.13786061979391634	0.8903505740115474	30039328.68896083	-16222443879.507652	14313066769.165312	-0.09082762482987228	-0.5815741106245325	0.3911675058084494	4666734768.488603	-3992388159.329505	36590633313.4283
5	WT	HO	EphB1_AMPK_energy_sensing	PC_score	-0.0994940882081518	0.32568860067986166	0.7799644164105847	11511608320.99629	27549257770.45052	0.7166416008772868	48328589348.0347	13231298656.569124	0.03542792960423716	49473926321.7416	15780657985.343885	0.08845087761077024	-1145336973.7068992	4644299134.28629	-0.24661137032528982	0.8052090040482354	-1640495418.9698892	-250754492874.0258	284205387551.6509	-0.09082762482987228	-0.5815741106245325	0.3911675058084494	-70989222661.20003	-641041214187.1964	78581655047.3363
5	WT	HO	EphB1_AMPK_energy_sensing	PE_score	-0.0994940882081518	0.32568860067986166	0.7799644164105847	11717639732.711489	6274770457.437266	0.20280522488558628	-2922792841.341205	4787163447.31416	0.5846432162893991	-1756956960.1834638	3594289448.75483	0.6733170579394652	-1165835881.157741	3867028867.952354	-0.30148103905287565	0.7630477064693941	-1206171369.4719183	-53599380543.423836	60749590347.4203	-0.09082762482987228	-0.5815741106245325	0.3911675058084494	-7030763626.992931	-137024113065.44177	27174266124.418182
5	WT	HO	EphB1_AMPK_energy_sensing	sum_CL_score	-0.0994940882081518	0.32568860067986166	0.7799644164105847	235366695.9514723	1523547265.744459	0.8914079054018482	-1099832037.3874567	705910040.0885181	0.2171063105782819	-1076414442.5791996	872712380.3316158	0.3427108597190466	-23417594.808257032	169864279.17750034	-0.13786061979391634	0.8903505740115474	30039328.68896083	-16222443879.507652	14313066769.165312	-0.09082762482987228	-0.5815741106245325	0.3911675058084494	4666734768.488603	-3992388159.329505	36590633313.4283
5	WT	HO	EphB1_AMPK_energy_sensing	CL_fraction_score	-0.0994940882081518	0.32568860067986166	0.7799644164105847	1.1580052940554854e-4	0.002797979382300817	0.9707473549896042	-0.0022045573827507185	0.0012892821270239696	0.18581138487539242	-0.0021930359146634924	0.001602727596149349	0.3046517787944034	-1.1521468087226322e-5	2.8092557627080995e-4	-0.041012528087224505	0.9672859082967906	9.154644720612958e-5	-0.02968622324308189	0.02619216306485839	-0.09082762482987228	-0.5815741106245325	0.3911675058084494	0.0081953973029740591	-0.007859733795304552	0.06695894386913723
5	WT	HO	EphB1_AMPK_energy_sensing	mito_lipid_mass_score	-0.0994940882081518	0.32568860067986166	0.7799644164105847	23464614749.659153	32303250748.770565	0.5431118064084789	44305964469.306076	16726537587.313915	0.07707010940438734	46640554918.97896	18503821632.099663	0.12789000644568513	-2334590449.6728873	8290491860.842186	-0.2815985455217284	0.7782513555980473	-2816627459.752857	-290040806648.2841	328732534019.5638	-0.09082762482987228	-0.5815741106245325	0.3911675058084494	-73353251519.70454	-741474693939.2104	101763533012.42497
5	WT	HO	EphB1_AMPK_energy_sensing	Membrane context_score	-0.0994940882081518	0.32568860067986166	0.7799644164105847	-0.35557075734880256	0.5307984925919951	0.5719197338162831	0.16274547835513403	0.27052249671773143	0.5898659613234188	0.12736829005923292	0.30404991453943564	0.7159867027126006	0.0353771882959011	0.12727887495138	0.27795019644395064	0.7810505902595732	0.006384075359832194	-5.113643971659535	5.79580908046495	-0.09082762482987228	-0.5815741106245325	0.3911675058084494	-1.8341327997799044	-13.072772906049181	1.3363368407267606
5	WT	HO	EphB1_AMPK_energy_sensing	Oxidation_score	-0.0994940882081518	0.32568860067986166	0.7799644164105847	0.37203093926507863	0.7213738220198901	0.6573968699730086	0.10234776187439153	0.35366354069594236	0.7911279302439007	0.13936264096179282	0.4132145286718574	0.7680233677967575	-0.037014879087401295	0.1408280460581756	-0.2628374114635559	0.7926758988330027	-0.014524689174962841	-7.767409957242183	6.853187976315007	-0.09082762482987228	-0.5815741106245325	0.3911675058084494	2.5071977891253545	-1.4880728506043954	17.519829419754867
5	WT	HO	EphB1_AMPK_energy_sensing	Remodeling_score	-0.0994940882081518	0.32568860067986166	0.7799644164105847	0.37203093926507863	0.7213738220198901	0.6573968699730086	0.10234776187439153	0.35366354069594236	0.7911279302439007	0.13936264096179282	0.4132145286718574	0.7680233677967575	-0.037014879087401295	0.1408280460581756	-0.2628374114635559	0.7926758988330027	-0.014524689174962841	-7.767409957242183	6.853187976315007	-0.09082762482987228	-0.5815741106245325	0.3911675058084494	2.5071977891253545	-1.4880728506043954	17.519829419754867
5	WT	HO	EphB1_AMPK_energy_sensing	Supply_score	-0.0994940882081518	0.32568860067986166	0.7799644164105847	-0.5245757903479378	0.32165859826244847	0.24449741597941585	-0.16498469403937993	0.22613867738180696	0.5184545242851035	-0.2171768839961186	0.1842512190172091	0.359755160886561	0.05219218995673867	0.17381990883073437	0.30026589190978903	0.7639743478440879	-0.005648572727395336	-2.512629380158238	2.8478165977280745	-0.09082762482987228	-0.5815741106245325	0.3911675058084494	-0.8378013220095966	-6.423410285486866	1.3696012578047128
