M	n_batches	n_beta_pos	n_beta_neg	frac_beta_pos	beta_M_median	beta_M_mean
EphB1_PI3K_AKT_mTOR	3	0	3	0	-0.24986944471081698	-0.28617441848554603
EphB1_PGC1_NRF_mito_biogenesis	3	2	1	0.6666666666666666	0.21689229394889073	0.14498195638733244
EphB1_cytoskeleton_FAQ_Src_Rho	3	1	2	0.3333333333333333	-0.15601864988798483	0.14579700222060915
EphB1_JAK_STAT_inflammatory	3	1	2	0.3333333333333333	-0.12913876589861426	-0.24924074583394984
EphB1_integrin_caveolae_membrane_microdomain	3	2	1	0.6666666666666666	0.12587706117948969	0.38292547893956697
EphB1_AMPK_energy_sensing	3	2	1	0.6666666666666666	0.11871822379235125	0.15711376627453685
EphB1_NFkB_inflammation_ROS	3	1	2	0.3333333333333333	-0.10191914392811005	-0.17920275491676407
EphB1_MAPK_ERK_p38_JNK	3	1	2	0.3333333333333333	-0.03329868290613662	0.12220318954704389
EphB1_mito_stress_cell_death	3	2	1	0.6666666666666666	0.014261668577464196	-0.2255696188820094
