M	n_batches	n_beta_pos	n_beta_neg	frac_beta_pos	beta_M_median	beta_M_mean
EphB1_JAK_STAT_inflammatory	3	1	2	0.3333333333333333	-0.8527089674810407	-0.5156695148619188
EphB1_NFkB_inflammation_ROS	3	1	2	0.3333333333333333	-0.7225520726593508	-0.475532792816205
EphB1_integrin_caveolae_membrane_microdomain	3	1	2	0.3333333333333333	-0.6600216638435271	-0.4159865706025388
EphB1_MAPK_ERK_p38_JNK	3	0	3	0	-0.6187674483632724	-0.5680297579202152
EphB1_cytoskeleton_FAQ_Src_Rho	3	0	3	0	-0.26810419177006334	-0.4101460422713204
EphB1_PGC1_NRF_mito_biogenesis	3	1	2	0.3333333333333333	-0.2449941360726341	0.04184482572850392
EphB1_PI3K_AKT_mTOR	3	1	2	0.3333333333333333	-0.18607941521823812	-0.17099324535089838
EphB1_mito_stress_cell_death	3	2	1	0.6666666666666666	0.1541766280008326	0.002915468117460259
EphB1_AMPK_energy_sensing	3	2	1	0.6666666666666666	0.07521017804414318	-0.0026096266425989687
