Y_axis	outcome_col	M_type	M_axis	mediator_col	n	group_ref	group_focal	a	se_a	p_a	b	se_b	p_b	c_total	se_c_total	p_c_total	c_prime	se_c_prime	p_c_prime	ab	ab_boot_mean	ab_boot_ci_low	ab_boot_ci_high	z_sobel	p_sobel
Membrane context	Membrane context_score	M2_axis_upstream	Oxidation	Oxidation_mito_ROS_generators	5	WT	HO	0.3107982974864938	0.6858924249720865	0.681221588516303	-0.01230817047645285	0.2787538091314632	0.9687934238464732	0.16274547835513403	0.27052249671773143	0.5898659613234188	0.1665708367843891	0.34230477868706893	0.6746334209321578	-0.00382535842925507	-0.3723881869812135	-5.473649613030988	0.29709729113582967	-0.04394612450627609	0.9649473487537026
Oxidation	Oxidation_score	M2_axis_upstream	Supply	Supply_mTOR_SREBP_lipogenesis	5	WT	HO	0.5249433677423713	0.326204280310928	0.205936201118749	0.361136289614972	0.7228494858814952	0.6669031723875335	0.10234776187439153	0.35366354069594236	0.7911279302439007	-0.08722833821007622	0.5574820486176695	0.8900311427322765	0.18957610008446776	-1.2520571520100956	-16.690537316277208	1.2314507860089654	0.4771358928640817	0.6332653572975586
Remodeling	Remodeling_score	M2_axis_upstream	Supply	Supply_mTOR_SREBP_lipogenesis	5	WT	HO	0.5249433677423713	0.326204280310928	0.205936201118749	0.361136289614972	0.7228494858814952	0.6669031723875335	0.10234776187439153	0.35366354069594236	0.7911279302439007	-0.08722833821007622	0.5574820486176695	0.8900311427322765	0.18957610008446776	-1.2520571520100956	-16.690537316277208	1.2314507860089654	0.4771358928640817	0.6332653572975586
Supply	Supply_score	M2_axis_upstream	Oxidation	Oxidation_mito_ROS_generators	5	WT	HO	0.3107982974864938	0.6858924249720865	0.681221588516303	0.15826360705021492	0.20451731917054344	0.5199768103303042	-0.16498469403937993	0.22613867738180696	0.5184545242851035	-0.21417275366465816	0.25114367367561014	0.4836080392521107	0.04918805962527825	-0.11750058889146311	-2.68952099728016	0.5726849022443052	0.39102441393981463	0.695779189973678
Synthesis	Synthesis_score	M2_axis_upstream	Membrane context	Membrane_context_OXPHOS_supercomplex_organization	5	WT	HO	0.939704220979062	0.71287956664982155	0.2790539112851294	-0.11919325358282268	0.4430343619537038	0.8131128706233669	-0.38782247123451186	0.4546617803223049	0.4563540033145877	-0.27581606773050565	0.687436856011247	0.7270636889086693	-0.11200640350400616	-0.6658581782044503	-7.781425069088035	0.611668353591836	-0.26360405364671363	0.7920850346245545
Transport	Transport_score	M2_axis_upstream	Supply	Supply_AMPK_energy_sensing	5	WT	HO	1.0774315568180466	0.4924708192235302	0.11649329065397844	-0.18429450588901897	0.7192576466892623	0.821721407309264	0.7111413117656326	0.5090889765492134	0.25684514445723466	0.9097060281586508	0.9884079518494994	0.4545383464096072	-0.19856471639301837	-0.6049852922031103	-5.06140567436083	1.3144567214902003	-0.254489391189869	0.7991174989723617
