sample_id	group	batch	rna_sample_id	EphB1_AMPK_energy_sensing	EphB1_cytoskeleton_FAQ_Src_Rho	EphB1_integrin_caveolae_membrane_microdomain	EphB1_JAK_STAT_inflammatory	EphB1_MAPK_ERK_p38_JNK	EphB1_mito_stress_cell_death	EphB1_NFkB_inflammation_ROS	EphB1_PGC1_NRF_mito_biogenesis	EphB1_PI3K_AKT_mTOR	Membrane context	Oxidation	Remodeling	Supply	Synthesis	Transport
batch1_KO_1	HO	batch1	batch1_KO_1	0.8157644758269171	0.6204731809904661	0.8426445498735405	-0.6429330899987545	0.32283127967873126	-1.0979208253405643	-0.23270852927315508	-0.5083705774598654	-0.25814695235891916	1.2045840160768386	-0.5741426169511147	0.7884189627807338	0.632978482060058	-0.27802622776926217	0.9339503498253063
batch1_KO_2	HO	batch1	batch1_KO_2	-1.7235228027322826	0.6270681397560965	0.9540776909115208	-0.6553927222205018	-0.2726829613368869	0.7929495728895118	-0.4393975374820141	-1.0377617295594808	-0.9036698093309257	0.9574761960323626	0.8655146988101458	0.12991368859308036	0.7142070526666604	-0.2687691102276402	-0.5450753494317272
batch1_WT_1	WT	batch1	batch1_WT_1	0.3744212237695256	-0.08016324178205489	0.33057867580026884	1.177643425894316	1.389829219494275	-0.6316106253609628	1.1086008316270353	0.7278715174456053	0.8321848934347208	-0.7000506068838455	0.5472853436585614	-0.25818018555373684	-0.9820871508297707	-0.9757813549704482	0.46600508736883633
batch1_WT_2	WT	batch1	batch1_WT_2	0.06470075358896706	0.5419189395268716	-1.0016058512464898	0.9992158556463351	-0.0669072068750706	-0.34665569957593195	0.8836865767226649	-0.5395628229735553	1.2533655989444619	-0.9225900149328158	0.6460468490673371	-1.570431086443326	-1.1969709337263028	1.6938105811698514	0.6327625037065157
batch1_WT_3	WT	batch1	batch1_WT_3	0.4686363495468983	-1.7092970184913632	-1.1256950653388749	-0.8785334693214112	-1.373070330961109	1.2832375773879474	-1.3201813415945138	1.3578236125473286	-0.9237337306893378	-0.5394195902925836	-1.4847042745849437	0.9102786206232487	0.8318725498293551	-0.17123388820243246	-1.4876425914689637
batch2_KO_1	HO	batch2	batch2_KO_1	0.6739788558871728	0.3442993023573357	-0.33716321193218296	0.5378750926648284	-0.5921801073041407	0.38409506753185657	0.0330452709737253	-0.06200070898882224	-0.0716456927614662	-0.015426593643954272	0.14718175925449525	-0.8827477761915694	1.26011377403274	0.4993088627596599	-0.05245829983408656
batch2_KO_2	HO	batch2	batch2_KO_2	0.939846290167874	-0.3879815417979185	-1.1872512837746896	-0.062282166926543446	-0.7864490709196976	-0.12167647801182258	-0.33743445554670193	0.2788849143558483	0.0479107867994694	0.2604921870685105	0.13930974790847034	0.3275505821970684	0.8875365542043078	0.7569111733910139	-0.2959119527390969
batch2_KO_3	HO	batch2	batch2_KO_3	-2.07074198744033	-0.4487713221575814	-1.7652055318420012	1.9781138174412212	-0.999245029379682	2.243902207792856	2.244548213245386	-1.2584014775520187	-1.160208871443737	-1.2198174576009932	-0.33148053698398267	-0.7634323792964126	-1.257579974604304	-1.6354612568130178	-1.9998470517686848
batch2_KO_4	HO	batch2	batch2_KO_4	0.3429285803232738	1.8865341270548226	0.6091176544419769	0.5730365088451796	0.5199893494448753	0.10924613074583414	0.28613434824069345	0.9270390389752924	-1.769809551775596	2.0074434094503677	2.324956567751864	-0.14229929202060368	-0.1120095213399129	0.8650794673155372	0.939524414968773
batch2_WT_1	WT	batch2	batch2_WT_1	0.7880704129850545	-0.36676615048927036	0.810577831809521	-1.076191352696043	0.9054518903890733	-0.8045830368019486	-0.9730996278722249	1.7106833235757803	1.0931645982169946	-0.03519309919065163	-0.5878115517524868	0.5334185382748594	-1.408618392905411	-1.303914271782006	1.121088063531989
batch2_WT_2	WT	batch2	batch2_WT_2	-0.16418367327069966	-1.6247781844234772	0.5799453778438133	-0.8114877716400177	0.13999463085107247	-0.7411049007227436	-0.789637935249877	-0.32656984866204014	0.9047796709217247	-0.8569469373870275	-0.6016370260676376	1.3092002387380512	0.4350994890760734	-0.4660443931359787	0.7146870988237922
batch2_WT_3	WT	batch2	batch2_WT_3	0.23436639462943487	0.20487410439716958	0.35829785938307995	-0.5635143184256104	1.7464563450371104	-0.6391582901121917	-0.022871826742802432	-0.07075586224911037	0.6259592579873756	0.5079319062915643	-0.8112694449617988	1.1204530074339758	-0.5494646543113002	0.7220842649705191	0.07695340463391419
